time_s,time_us,sd_last_error,sd_error_count,sd_elapsed_time_from_msg,sd_last_state,imi_last_error,imi_error_count,imi_elapsed_time_from_msg,imi_last_state,sins_comm_last_error,sins_comm_error_count,sins_comm_elapsed_time_from_msg,sins_comm_last_state,wifi_last_error,wifi_error_count,wifi_elapsed_time_from_msg,wifi_last_state,network_last_error,network_error_count,network_elapsed_time_from_msg,network_last_state,sensors_last_error,sensors_error_count,sensors_elapsed_time_from_msg,sensors_last_state,time_sync_last_error,time_sync_error_count,time_sync_elapsed_time_from_msg,time_sync_last_state,radio_last_error,radio_error_count,radio_elapsed_time_from_msg,radio_last_state,shift_reg_last_error,shift_reg_error_count,shift_reg_elapsed_time_from_msg,shift_reg_last_state,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1601800069,231963,0,0,0,0,0,0,0,0,0,0,132341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,86,20,0,2020-10-04T11:27:49,1601673997.3077118,2020-10-03T00:26:37
1601800101,321053,0,0,0,0,0,0,0,0,0,0,164341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,174,20,0,2020-10-04T11:28:21,1601674029.257233,2020-10-03T00:27:09
1601800133,518677,0,0,0,0,0,0,0,0,0,0,196341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,9,20,0,2020-10-04T11:28:53,1601674061.481201,2020-10-03T00:27:41
1601800164,341951,0,0,0,0,0,0,0,0,0,0,227341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,98,20,0,2020-10-04T11:29:24,1601674093.1322808,2020-10-03T00:28:13
1601800195,841947,0,0,0,0,0,0,0,0,0,0,259341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,190,20,0,2020-10-04T11:29:55,1601674124.685636,2020-10-03T00:28:44
1601800226,357564,0,0,0,0,0,0,0,0,0,0,290341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,25,20,0,2020-10-04T11:30:26,1601674156.136849,2020-10-03T00:29:16
1601800258,842834,0,0,0,0,0,0,0,0,0,0,323341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,117,20,0,2020-10-04T11:30:58,1601674188.440361,2020-10-03T00:29:48
1601800289,360506,0,0,0,0,0,0,0,0,0,0,354341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,210,20,0,2020-10-04T11:31:29,1601674219.5251958,2020-10-03T00:30:19
1601800320,860506,0,0,0,0,0,0,0,0,0,0,386341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,44,20,0,2020-10-04T11:32:00,1601674251.4010239,2020-10-03T00:30:51
1601800352,360506,0,0,0,0,0,0,0,0,0,0,418341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,135,20,0,2020-10-04T11:32:32,1601674283.379536,2020-10-03T00:31:23
1601800383,860506,0,0,0,0,0,0,0,0,0,0,450341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,224,20,0,2020-10-04T11:33:03,1601674315.188088,2020-10-03T00:31:55
1601800415,360510,0,0,0,0,0,0,0,0,0,0,482341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,61,20,0,2020-10-04T11:33:35,1601674347.3529239,2020-10-03T00:32:27
1601800446,860502,0,0,0,0,0,0,0,0,0,0,514341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,156,20,0,2020-10-04T11:34:06,1601674379.2505078,2020-10-03T00:32:59
1601800478,360510,0,0,0,0,0,0,0,0,0,0,546341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,242,20,0,2020-10-04T11:34:38,1601674410.99978,2020-10-03T00:33:30
1601800508,876135,0,0,0,0,0,0,0,0,0,0,577341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,74,20,0,2020-10-04T11:35:08,1601674441.9541678,2020-10-03T00:34:01
1601800540,376131,0,0,0,0,0,0,0,0,0,0,609341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,169,20,0,2020-10-04T11:35:40,1601674474.0309079,2020-10-03T00:34:34
1601800602,391756,0,0,0,0,0,0,0,0,0,0,672341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,90,20,0,2020-10-04T11:36:42,1601674537.604833,2020-10-03T00:35:37
1601800633,891756,0,0,0,0,0,0,0,0,0,0,704341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,183,20,0,2020-10-04T11:37:13,1601674569.520988,2020-10-03T00:36:09
1601800665,391752,0,0,0,0,0,0,0,0,0,0,736341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,18,20,0,2020-10-04T11:37:45,1601674601.889041,2020-10-03T00:36:41
1601800696,891761,0,0,0,0,0,0,0,0,0,0,768341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,105,20,0,2020-10-04T11:38:16,1601674633.1495888,2020-10-03T00:37:13
1601800727,407386,0,0,0,0,0,0,0,0,0,0,799341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,200,20,0,2020-10-04T11:38:47,1601674664.9020438,2020-10-03T00:37:44
1601800759,891754,0,0,0,0,0,0,0,0,0,0,832341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,37,20,0,2020-10-04T11:39:19,1601674697.5105798,2020-10-03T00:38:17
1601800791,391757,0,0,0,0,0,0,0,0,0,0,864341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118481,132,20,0,2020-10-04T11:39:51,1601674729.928957,2020-10-03T00:38:49
