time_s,time_us,rx_done_cnt,rx_dropped_cnt,rx_error_cnt,tx_done_cnt,tx_zeroes_cnt,tx_overrun_cnt,tx_error_cnt,restarts_cnt,listen_done_cnt,last_error,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1601800058,676500,2080,0,0,2070,0,0,0,0,4150,0,58,13,0,2020-10-04T11:27:38,1601673988.455832,2020-10-03T00:26:28
1601800094,825500,2631,0,0,2619,0,0,0,0,5250,0,151,13,0,2020-10-04T11:28:14,1601674022.993232,2020-10-03T00:27:02
1601800158,228500,3604,0,0,3588,0,0,0,0,7192,0,74,13,0,2020-10-04T11:29:18,1601674087.188748,2020-10-03T00:28:07
1601800184,845500,4041,0,0,4023,0,0,0,0,8064,0,164,13,0,2020-10-04T11:29:44,1601674118.453289,2020-10-03T00:28:38
1601800214,465500,4504,0,0,4484,0,0,0,0,8988,0,253,13,0,2020-10-04T11:30:14,1601674146.596236,2020-10-03T00:29:06
1601800247,85500,5015,0,0,4993,0,0,0,0,10008,0,87,13,0,2020-10-04T11:30:47,1601674179.168392,2020-10-03T00:29:39
1601800279,708500,5542,0,0,5518,0,0,0,0,11060,0,182,13,0,2020-10-04T11:31:19,1601674210.402233,2020-10-03T00:30:10
1601800341,956500,6528,0,0,6500,0,0,0,0,13028,0,107,13,0,2020-10-04T11:32:21,1601674273.765904,2020-10-03T00:31:13
1601800371,580500,6993,0,0,6963,0,0,0,0,13956,0,198,13,0,2020-10-04T11:32:51,1601674306.244545,2020-10-03T00:31:46
1601800404,205500,7528,0,0,7496,0,0,0,0,15024,0,29,13,0,2020-10-04T11:33:24,1601674337.8720958,2020-10-03T00:32:17
1601800436,828500,8037,0,0,8003,0,0,0,0,16040,0,126,13,0,2020-10-04T11:33:56,1601674369.8609328,2020-10-03T00:32:49
1601800466,448500,8503,0,0,8467,0,0,0,0,16970,0,217,13,0,2020-10-04T11:34:26,1601674401.934373,2020-10-03T00:33:21
1601800499,70500,9033,0,0,8995,0,0,0,0,18028,0,50,13,0,2020-10-04T11:34:59,1601674433.037252,2020-10-03T00:33:53
1601800528,692500,9503,0,0,9463,0,0,0,0,18966,0,143,13,0,2020-10-04T11:35:28,1601674465.133565,2020-10-03T00:34:25
1601800561,314500,10018,0,0,9976,0,0,0,0,19994,0,235,13,0,2020-10-04T11:36:01,1601674499.535604,2020-10-03T00:34:59
1601800590,937500,10487,0,0,10443,0,0,0,0,20930,0,63,13,0,2020-10-04T11:36:30,1601674528.1420279,2020-10-03T00:35:28
1601800623,559500,11022,0,0,10976,0,0,0,0,21998,0,158,13,0,2020-10-04T11:37:03,1601674560.298308,2020-10-03T00:36:00
1601800653,181500,11490,0,0,11442,0,0,0,0,22932,0,245,13,0,2020-10-04T11:37:33,1601674592.4136798,2020-10-03T00:36:32
1601800685,804500,12000,0,0,11950,0,0,0,0,23950,0,79,13,0,2020-10-04T11:38:05,1601674624.0723438,2020-10-03T00:37:04
1601800718,426500,12529,0,0,12477,0,0,0,0,25006,0,173,13,0,2020-10-04T11:38:38,1601674655.8123238,2020-10-03T00:37:35
1601800748,48500,13010,0,0,12956,0,0,0,0,25966,0,10,13,0,2020-10-04T11:39:08,1601674688.15392,2020-10-03T00:38:08
1601800780,670500,13517,0,0,13461,0,0,0,0,26978,0,103,13,0,2020-10-04T11:39:40,1601674720.456188,2020-10-03T00:38:40
1601800812,916500,14022,0,0,13962,0,0,0,0,27984,0,194,13,0,2020-10-04T11:40:12,1601674752.37748,2020-10-03T00:39:12
1601800842,538500,14495,0,0,14433,0,0,0,0,28928,0,30,13,0,2020-10-04T11:40:42,1601674783.935065,2020-10-03T00:39:43
1601800875,157500,14997,0,0,14933,0,0,0,0,29930,0,119,13,0,2020-10-04T11:41:15,1601674816.095088,2020-10-03T00:40:16
1601800904,778500,15448,0,0,15382,0,0,0,0,30830,0,210,13,0,2020-10-04T11:41:44,1601674848.046548,2020-10-03T00:40:48
1601800937,396500,15964,0,0,15896,0,0,0,0,31860,0,43,13,0,2020-10-04T11:42:17,1601674880.3061888,2020-10-03T00:41:20
1601800970,16500,16467,0,0,16397,0,0,0,0,32864,0,134,13,0,2020-10-04T11:42:50,1601674913.052317,2020-10-03T00:41:53
1601801002,637500,16972,0,0,16900,0,0,0,0,33872,0,228,13,0,2020-10-04T11:43:22,1601674944.7517169,2020-10-03T00:42:24
1601801032,258500,17451,0,0,17377,0,0,0,0,34828,0,58,13,0,2020-10-04T11:43:52,1601674975.46816,2020-10-03T00:42:55
1601801064,876500,17980,0,0,17904,0,0,0,0,35884,0,153,13,0,2020-10-04T11:44:24,1601675007.07496,2020-10-03T00:43:27
1601801094,495500,18450,0,0,18372,0,0,0,0,36822,0,248,13,0,2020-10-04T11:44:54,1601675039.501509,2020-10-03T00:43:59
1601801124,117500,18927,0,0,18847,0,0,0,0,37774,0,87,13,0,2020-10-04T11:45:24,1601675070.854517,2020-10-03T00:44:30
1601801156,738500,19467,0,0,19385,0,0,0,0,38852,0,178,13,0,2020-10-04T11:45:56,1601675102.731832,2020-10-03T00:45:02
1601801189,359500,20003,0,0,19919,0,0,0,0,39922,0,14,13,0,2020-10-04T11:46:29,1601675135.4014199,2020-10-03T00:45:35
1601801221,980500,20541,0,0,20455,0,0,0,0,40996,0,105,13,0,2020-10-04T11:47:01,1601675167.643008,2020-10-03T00:46:07
1601801251,600500,21026,0,0,20938,0,0,0,0,41964,0,199,13,0,2020-10-04T11:47:31,1601675199.142128,2020-10-03T00:46:39
1601801284,221500,21567,0,0,21477,0,0,0,0,43044,0,34,13,0,2020-10-04T11:48:04,1601675230.6621718,2020-10-03T00:47:10
1601801313,843500,22053,0,0,21961,0,0,0,0,44014,0,128,13,0,2020-10-04T11:48:33,1601675263.2641568,2020-10-03T00:47:43
