time_s,time_us,deg,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1601800050,875000,29.216705322265625,29,13,0,2020-10-04T11:27:30,1601673979.593984,2020-10-03T00:26:19
1601800091,24000,29.404125213623047,146,13,0,2020-10-04T11:28:11,1601674019.7024639,2020-10-03T00:26:59
1601800114,312000,29.216705322265625,207,13,0,2020-10-04T11:28:34,1601674043.112468,2020-10-03T00:27:23
1601800137,312000,29.59151840209961,13,13,0,2020-10-04T11:28:57,1601674064.4828799,2020-10-03T00:27:44
1601800154,427000,29.77893829345703,73,13,0,2020-10-04T11:29:14,1601674087.1784,2020-10-03T00:28:07
1601800177,44000,29.77893829345703,134,13,0,2020-10-04T11:29:37,1601674106.572593,2020-10-03T00:28:26
1601800200,44000,29.59151840209961,198,13,0,2020-10-04T11:30:00,1601674128.980269,2020-10-03T00:28:48
1601800220,664000,30.528593063354492,4,13,0,2020-10-04T11:30:20,1601674150.977457,2020-10-03T00:29:10
1601800239,284000,30.715984344482422,61,13,0,2020-10-04T11:30:39,1601674169.5200648,2020-10-03T00:29:29
1601800261,907000,30.903404235839844,124,13,0,2020-10-04T11:31:01,1601674192.5549679,2020-10-03T00:29:52
1601800283,907000,31.46563720703125,188,13,0,2020-10-04T11:31:23,1601674214.7040758,2020-10-03T00:30:14
1601800305,531000,31.46563720703125,252,13,0,2020-10-04T11:31:45,1601674236.384508,2020-10-03T00:30:36
1601800324,155000,31.840450286865234,53,13,0,2020-10-04T11:32:04,1601674255.726317,2020-10-03T00:30:55
1601800342,155000,32.0278434753418,114,13,0,2020-10-04T11:32:22,1601674277.8110318,2020-10-03T00:31:17
1601800364,779000,32.0278434753418,172,13,0,2020-10-04T11:32:44,1601674297.305428,2020-10-03T00:31:37
1601800386,404000,32.0278434753418,234,13,0,2020-10-04T11:33:06,1601674319.583869,2020-10-03T00:31:59
1601800409,404000,32.5900764465332,40,13,0,2020-10-04T11:33:29,1601674342.389472,2020-10-03T00:32:22
1601800428,27000,32.40268325805664,98,13,0,2020-10-04T11:33:48,1601674360.739709,2020-10-03T00:32:40
