time_s,time_us,bme_last_error,bme_error_counter,adc_last_error,adc_error_counter,resets_count,reset_cause,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1601800048,276000,0,0,0,0,1,2,33,13,0,2020-10-04T11:27:28,1601673979.615936,2020-10-03T00:26:19
1601800081,425000,0,0,0,0,1,2,120,13,0,2020-10-04T11:28:01,1601674010.582661,2020-10-03T00:26:50
1601800114,713000,0,0,0,0,1,2,208,13,0,2020-10-04T11:28:34,1601674043.1200838,2020-10-03T00:27:23
1601800144,828000,0,0,0,0,1,2,43,13,0,2020-10-04T11:29:04,1601674074.6545599,2020-10-03T00:27:54
1601800177,445000,0,0,0,0,1,2,127,13,0,2020-10-04T11:29:37,1601674105.8391209,2020-10-03T00:28:25
1601800207,65000,0,0,0,0,1,2,219,13,0,2020-10-04T11:30:07,1601674136.728,2020-10-03T00:28:56
1601800239,685000,0,0,0,0,1,2,56,13,0,2020-10-04T11:30:39,1601674169.4930649,2020-10-03T00:29:29
1601800266,308000,0,0,0,0,1,2,144,13,0,2020-10-04T11:31:06,1601674200.1132438,2020-10-03T00:30:00
1601800301,932000,0,0,0,0,1,2,241,13,0,2020-10-04T11:31:41,1601674232.484825,2020-10-03T00:30:32
1601800331,556000,0,0,0,0,1,2,75,13,0,2020-10-04T11:32:11,1601674264.716352,2020-10-03T00:31:04
1601800358,180000,0,0,0,0,1,2,160,13,0,2020-10-04T11:32:38,1601674292.902516,2020-10-03T00:31:32
1601800393,805000,0,0,0,0,1,2,253,13,0,2020-10-04T11:33:13,1601674328.623389,2020-10-03T00:32:08
1601800426,428000,0,0,0,0,1,2,92,13,0,2020-10-04T11:33:46,1601674360.705493,2020-10-03T00:32:40
1601800459,48000,0,0,0,0,1,2,185,13,0,2020-10-04T11:34:19,1601674392.053321,2020-10-03T00:33:12
1601800488,670000,0,0,0,0,1,2,18,13,0,2020-10-04T11:34:48,1601674424.046732,2020-10-03T00:33:44
1601800521,292000,0,0,0,0,1,2,109,13,0,2020-10-04T11:35:21,1601674455.587421,2020-10-03T00:34:15
1601800550,914000,0,0,0,0,1,2,204,13,0,2020-10-04T11:35:50,1601674486.9686089,2020-10-03T00:34:46
1601800583,537000,0,0,0,0,1,2,31,13,0,2020-10-04T11:36:23,1601674518.743829,2020-10-03T00:35:18
1601800613,159000,0,0,0,0,1,2,126,13,0,2020-10-04T11:36:53,1601674550.905468,2020-10-03T00:35:50
1601800645,781000,0,0,0,0,1,2,213,13,0,2020-10-04T11:37:25,1601674582.698396,2020-10-03T00:36:22
1601800678,404000,0,0,0,0,1,2,50,13,0,2020-10-04T11:37:58,1601674615.086176,2020-10-03T00:36:55
1601800708,26000,0,0,0,0,1,2,138,13,0,2020-10-04T11:38:28,1601674646.443532,2020-10-03T00:37:26
1601800740,648000,0,0,0,0,1,2,233,13,0,2020-10-04T11:39:00,1601674678.492512,2020-10-03T00:37:58
1601800770,270000,0,0,0,0,1,2,68,13,0,2020-10-04T11:39:30,1601674710.6848009,2020-10-03T00:38:30
1601800799,892000,0,0,0,0,1,2,159,13,0,2020-10-04T11:39:59,1601674741.71344,2020-10-03T00:39:01
1601800835,516000,0,0,0,0,1,2,252,13,0,2020-10-04T11:40:35,1601674774.7062,2020-10-03T00:39:34
1601800865,138000,0,0,0,0,1,2,87,13,0,2020-10-04T11:41:05,1601674805.8275318,2020-10-03T00:40:05
1601800897,757000,0,0,0,0,1,2,178,13,0,2020-10-04T11:41:37,1601674838.120632,2020-10-03T00:40:38
1601800924,378000,0,0,0,0,1,2,13,13,0,2020-10-04T11:42:04,1601674870.305796,2020-10-03T00:41:10
1601800956,996000,0,0,0,0,1,2,102,13,0,2020-10-04T11:42:36,1601674902.936116,2020-10-03T00:41:42
1601800989,616000,0,0,0,0,1,2,197,13,0,2020-10-04T11:43:09,1601674934.310448,2020-10-03T00:42:14
1601801019,237000,0,0,0,0,1,2,27,13,0,2020-10-04T11:43:39,1601674962.8518999,2020-10-03T00:42:42
1601801048,858000,0,0,0,0,1,2,119,13,0,2020-10-04T11:44:08,1601674994.34692,2020-10-03T00:43:14
1601801081,476000,0,0,0,0,1,2,216,13,0,2020-10-04T11:44:41,1601675029.686981,2020-10-03T00:43:49
1601801116,717000,0,0,0,0,1,2,51,13,0,2020-10-04T11:45:16,1601675061.543057,2020-10-03T00:44:21
1601801149,338000,0,0,0,0,1,2,145,13,0,2020-10-04T11:45:49,1601675092.3803759,2020-10-03T00:44:52
1601801178,959000,0,0,0,0,1,2,237,13,0,2020-10-04T11:46:18,1601675125.1212928,2020-10-03T00:45:25
1601801211,580000,0,0,0,0,1,2,72,13,0,2020-10-04T11:46:51,1601675157.215257,2020-10-03T00:45:57
1601801244,200000,0,0,0,0,1,2,165,13,0,2020-10-04T11:47:24,1601675189.493568,2020-10-03T00:46:29
1601801273,821000,0,0,0,0,1,2,3,13,0,2020-10-04T11:47:53,1601675221.631816,2020-10-03T00:47:01
1601801306,443000,0,0,0,0,1,2,95,13,0,2020-10-04T11:48:26,1601675253.765496,2020-10-03T00:47:33
1601801339,491000,0,0,0,0,1,2,186,13,0,2020-10-04T11:48:59,1601675286.3665009,2020-10-03T00:48:06
1601801369,596000,0,0,0,0,1,2,17,13,0,2020-10-04T11:49:29,1601675317.6168249,2020-10-03T00:48:37
1601801399,700000,0,0,0,0,1,2,110,13,0,2020-10-04T11:49:59,1601675349.56682,2020-10-03T00:49:09
1601801432,808000,0,0,0,0,1,2,203,13,0,2020-10-04T11:50:32,1601675380.244025,2020-10-03T00:49:40
1601801465,913000,0,0,0,0,1,2,42,13,0,2020-10-04T11:51:05,1601675414.1134999,2020-10-03T00:50:14
1601801496,18000,0,0,0,0,1,2,131,13,0,2020-10-04T11:51:36,1601675445.588069,2020-10-03T00:50:45
1601801529,122000,0,0,0,0,1,2,224,13,0,2020-10-04T11:52:09,1601675476.6809878,2020-10-03T00:51:16
1601801562,227000,0,0,0,0,1,2,61,13,0,2020-10-04T11:52:42,1601675509.2819679,2020-10-03T00:51:49
1601801592,329000,0,0,0,0,1,2,152,13,0,2020-10-04T11:53:12,1601675540.8662288,2020-10-03T00:52:20
1601801625,432000,0,0,0,0,1,2,246,13,0,2020-10-04T11:53:45,1601675572.395792,2020-10-03T00:52:52
1601801655,532000,0,0,0,0,1,2,79,13,0,2020-10-04T11:54:15,1601675604.051921,2020-10-03T00:53:24
1601801688,631000,0,0,0,0,1,2,170,13,0,2020-10-04T11:54:48,1601675635.396396,2020-10-03T00:53:55
1601801718,704000,0,0,0,0,1,2,4,13,0,2020-10-04T11:55:18,1601675667.676792,2020-10-03T00:54:27
1601801751,816000,0,0,0,0,1,2,99,13,0,2020-10-04T11:55:51,1601675698.965368,2020-10-03T00:54:58
1601801781,908000,0,0,0,0,1,2,190,13,0,2020-10-04T11:56:21,1601675730.047644,2020-10-03T00:55:30
1601801811,997000,0,0,0,0,1,2,24,13,0,2020-10-04T11:56:51,1601675761.673836,2020-10-03T00:56:01
1601801845,84000,0,0,0,0,1,2,108,13,0,2020-10-04T11:57:25,1601675793.0671558,2020-10-03T00:56:33
1601801878,171000,0,0,0,0,1,2,198,13,0,2020-10-04T11:57:58,1601675825.7580478,2020-10-03T00:57:05
1601801908,260000,0,0,0,0,1,2,32,13,0,2020-10-04T11:58:28,1601675857.521988,2020-10-03T00:57:37
1601801941,345000,0,0,0,0,1,2,122,13,0,2020-10-04T11:59:01,1601675888.7003999,2020-10-03T00:58:08
1601801971,320000,0,0,0,0,1,2,212,13,0,2020-10-04T11:59:31,1601675920.8949919,2020-10-03T00:58:40
1601802004,493000,0,0,0,0,1,2,53,13,0,2020-10-04T12:00:04,1601675952.927461,2020-10-03T00:59:12
1601802034,588000,0,0,0,0,1,2,144,13,0,2020-10-04T12:00:34,1601675983.945524,2020-10-03T00:59:43
1601802058,670000,0,0,0,0,1,2,234,13,0,2020-10-04T12:00:58,1601676005.544664,2020-10-03T01:00:05
1601802073,670000,0,0,0,0,1,2,65,13,0,2020-10-04T12:01:13,1601676022.681392,2020-10-03T01:00:22
1601802091,710000,0,0,0,0,1,2,152,13,0,2020-10-04T12:01:31,1601676040.6689649,2020-10-03T01:00:40
1601802109,829000,0,0,0,0,1,2,243,13,0,2020-10-04T12:01:49,1601676058.722733,2020-10-03T01:00:58
1601802124,829000,0,0,0,0,1,2,70,13,0,2020-10-04T12:02:04,1601676074.1836078,2020-10-03T01:01:14
1601802142,907000,0,0,0,0,1,2,163,13,0,2020-10-04T12:02:22,1601676093.70254,2020-10-03T01:01:33
