rssi,seq,srcSystem,srcComponent,log_timestamp,log_timestamp_gregorian
-3.0,5,1,0,1601673969.7694,2020-10-03T00:26:09
0.0,10,1,0,1601673970.733109,2020-10-03T00:26:10
0.0,13,1,0,1601673973.590473,2020-10-03T00:26:13
0.0,18,1,0,1601673974.9588969,2020-10-03T00:26:14
0.0,23,1,0,1601673975.435428,2020-10-03T00:26:15
0.0,26,1,0,1601673978.282325,2020-10-03T00:26:18
-4.0,36,1,0,1601673979.628692,2020-10-03T00:26:19
0.0,39,1,0,1601673982.431397,2020-10-03T00:26:22
0.0,46,1,0,1601673983.801545,2020-10-03T00:26:23
0.0,49,1,0,1601673984.27262,2020-10-03T00:26:24
0.0,53,1,0,1601673987.091508,2020-10-03T00:26:27
0.0,60,1,0,1601673988.4655519,2020-10-03T00:26:28
-8.0,63,1,0,1601673988.784325,2020-10-03T00:26:28
0.0,66,1,0,1601673991.52538,2020-10-03T00:26:31
0.0,75,1,0,1601673992.910284,2020-10-03T00:26:32
0.0,78,1,0,1601673993.2249289,2020-10-03T00:26:33
0.0,82,1,0,1601673995.952029,2020-10-03T00:26:35
0.0,88,1,0,1601673997.315389,2020-10-03T00:26:37
0.0,92,1,0,1601674000.538205,2020-10-03T00:26:40
0.0,101,1,0,1601674001.850896,2020-10-03T00:26:41
0.0,105,1,0,1601674005.634281,2020-10-03T00:26:45
0.0,109,1,0,1601674006.137009,2020-10-03T00:26:46
0.0,115,1,0,1601674009.44956,2020-10-03T00:26:49
0.0,122,1,0,1601674010.591465,2020-10-03T00:26:50
0.0,125,1,0,1601674013.469641,2020-10-03T00:26:53
0.0,133,1,0,1601674014.851853,2020-10-03T00:26:54
0.0,137,1,0,1601674015.291144,2020-10-03T00:26:55
0.0,141,1,0,1601674018.4808118,2020-10-03T00:26:58
0.0,149,1,0,1601674019.7220888,2020-10-03T00:26:59
0.0,153,1,0,1601674023.0024478,2020-10-03T00:27:03
0.0,162,1,0,1601674024.24716,2020-10-03T00:27:04
0.0,165,1,0,1601674027.405916,2020-10-03T00:27:07
-7.0,173,1,0,1601674028.777956,2020-10-03T00:27:08
0.0,176,1,0,1601674029.266049,2020-10-03T00:27:09
0.0,180,1,0,1601674032.359068,2020-10-03T00:27:12
-3.0,188,1,0,1601674033.731801,2020-10-03T00:27:13
0.0,193,1,0,1601674037.704064,2020-10-03T00:27:17
-1.0,196,1,0,1601674038.189429,2020-10-03T00:27:18
0.0,199,1,0,1601674041.130329,2020-10-03T00:27:21
0.0,205,1,0,1601674041.998308,2020-10-03T00:27:21
0.0,212,1,0,1601674043.145805,2020-10-03T00:27:23
0.0,217,1,0,1601674046.060097,2020-10-03T00:27:26
0.0,225,1,0,1601674047.426436,2020-10-03T00:27:27
0.0,228,1,0,1601674047.749405,2020-10-03T00:27:27
0.0,232,1,0,1601674050.701577,2020-10-03T00:27:30
0.0,238,1,0,1601674052.067932,2020-10-03T00:27:32
0.0,241,1,0,1601674054.9982,2020-10-03T00:27:34
0.0,247,1,0,1601674056.0609958,2020-10-03T00:27:36
0.0,253,1,0,1601674056.7934768,2020-10-03T00:27:36
0.0,0,1,0,1601674059.418669,2020-10-03T00:27:39
0.0,8,1,0,1601674060.8056998,2020-10-03T00:27:40
0.0,11,1,0,1601674061.491617,2020-10-03T00:27:41
0.0,15,1,0,1601674064.494153,2020-10-03T00:27:44
0.0,22,1,0,1601674065.857864,2020-10-03T00:27:45
0.0,26,1,0,1601674066.1961489,2020-10-03T00:27:46
0.0,31,1,0,1601674069.842516,2020-10-03T00:27:49
0.0,35,1,0,1601674070.3552039,2020-10-03T00:27:50
-5.0,39,1,0,1601674073.476292,2020-10-03T00:27:53
-1.0,48,1,0,1601674074.6886969,2020-10-03T00:27:54
0.0,54,1,0,1601674078.099592,2020-10-03T00:27:58
0.0,61,1,0,1601674079.087769,2020-10-03T00:27:59
0.0,67,1,0,1601674082.855697,2020-10-03T00:28:02
0.0,72,1,0,1601674083.6184008,2020-10-03T00:28:03
0.0,79,1,0,1601674087.224825,2020-10-03T00:28:07
-4.0,84,1,0,1601674088.02908,2020-10-03T00:28:08
0.0,88,1,0,1601674090.953832,2020-10-03T00:28:10
0.0,97,1,0,1601674092.333016,2020-10-03T00:28:12
0.0,100,1,0,1601674093.141497,2020-10-03T00:28:13
-32.0,103,1,0,1601674096.216704,2020-10-03T00:28:16
0.0,111,1,0,1601674097.60166,2020-10-03T00:28:17
0.0,115,1,0,1601674098.060845,2020-10-03T00:28:18
0.0,120,1,0,1601674101.7057,2020-10-03T00:28:21
0.0,124,1,0,1601674102.220969,2020-10-03T00:28:22
0.0,131,1,0,1601674105.8655958,2020-10-03T00:28:25
0.0,137,1,0,1601674106.587704,2020-10-03T00:28:26
0.0,140,1,0,1601674109.3654568,2020-10-03T00:28:29
-2.0,148,1,0,1601674110.7437239,2020-10-03T00:28:30
-2.0,152,1,0,1601674111.17748,2020-10-03T00:28:31
-7.0,157,1,0,1601674114.3754768,2020-10-03T00:28:34
0.0,163,1,0,1601674115.4934368,2020-10-03T00:28:35
-33.0,166,1,0,1601674118.464808,2020-10-03T00:28:38
0.0,174,1,0,1601674119.843616,2020-10-03T00:28:39
0.0,177,1,0,1601674120.166925,2020-10-03T00:28:40
0.0,180,1,0,1601674122.709125,2020-10-03T00:28:42
0.0,189,1,0,1601674124.091529,2020-10-03T00:28:44
0.0,192,1,0,1601674124.6928399,2020-10-03T00:28:44
-34.0,195,1,0,1601674127.633965,2020-10-03T00:28:47
0.0,204,1,0,1601674129.0087,2020-10-03T00:28:49
0.0,207,1,0,1601674129.3228369,2020-10-03T00:28:49
0.0,210,1,0,1601674132.462381,2020-10-03T00:28:52
0.0,215,1,0,1601674133.462297,2020-10-03T00:28:53
0.0,221,1,0,1601674136.737777,2020-10-03T00:28:56
0.0,228,1,0,1601674137.8109128,2020-10-03T00:28:57
0.0,232,1,0,1601674140.821657,2020-10-03T00:29:00
0.0,240,1,0,1601674142.195725,2020-10-03T00:29:02
0.0,243,1,0,1601674142.518781,2020-10-03T00:29:02
0.0,249,1,0,1601674145.792604,2020-10-03T00:29:05
0.0,255,1,0,1601674146.6065118,2020-10-03T00:29:06
0.0,3,1,0,1601674149.908756,2020-10-03T00:29:09
0.0,11,1,0,1601674151.0239089,2020-10-03T00:29:11
0.0,17,1,0,1601674154.435153,2020-10-03T00:29:14
0.0,24,1,0,1601674155.7808878,2020-10-03T00:29:15
0.0,27,1,0,1601674156.1471639,2020-10-03T00:29:16
0.0,30,1,0,1601674159.02434,2020-10-03T00:29:19
0.0,37,1,0,1601674160.3963048,2020-10-03T00:29:20
0.0,42,1,0,1601674160.869092,2020-10-03T00:29:20
0.0,45,1,0,1601674164.110453,2020-10-03T00:29:24
0.0,51,1,0,1601674165.2388198,2020-10-03T00:29:25
0.0,54,1,0,1601674168.149324,2020-10-03T00:29:28
0.0,64,1,0,1601674169.532933,2020-10-03T00:29:29
