time_s,time_us,gps_init_error,gps_config_error,lsm6ds3_error,lis3mdl_error,analog_sensor_init_error,gps_uart_init_error,mems_i2c_error,uart_transfer_init_error,uart_transfer_error,timers_error,rtc_error,mems_i2c_error_counter,lsm6ds3_error_counter,lis3mdl_error_counter,gps_reconfig_counter,reset_counter,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1601800055,78000,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,7,47,11,0,2020-10-04T11:27:35,1601673984.2629368,2020-10-03T00:26:24
1601800092,26000,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,7,139,11,0,2020-10-04T11:28:12,1601674018.471624,2020-10-03T00:26:58
1601800123,834000,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,7,233,11,0,2020-10-04T11:28:43,1601674052.031652,2020-10-03T00:27:32
1601800136,658000,0,0,0,44,0,0,44,0,0,0,-88,1,0,1,0,7,63,11,0,2020-10-04T11:28:56,1601674082.824344,2020-10-03T00:28:02
1601800168,440000,0,0,0,44,0,0,44,0,0,0,-88,1,0,1,0,7,154,11,0,2020-10-04T11:29:28,1601674114.356176,2020-10-03T00:28:34
1601800200,210000,0,0,0,44,0,0,44,0,0,0,-88,1,0,1,0,7,247,11,0,2020-10-04T11:30:00,1601674145.7816799,2020-10-03T00:29:05
1601800227,818000,0,0,0,44,0,0,44,0,0,0,-88,1,0,1,0,7,81,11,0,2020-10-04T11:30:27,1601674178.308133,2020-10-03T00:29:38
1601800263,690000,0,0,0,44,0,0,44,0,0,0,-88,1,0,1,0,7,176,11,0,2020-10-04T11:31:03,1601674209.809572,2020-10-03T00:30:09
1601800295,410000,0,0,0,44,0,0,44,0,0,0,-88,1,0,1,0,7,15,11,0,2020-10-04T11:31:35,1601674241.7516649,2020-10-03T00:30:41
1601800327,122000,0,0,0,44,0,0,44,0,0,0,-88,1,0,1,0,7,105,11,0,2020-10-04T11:32:07,1601674273.753429,2020-10-03T00:31:13
