time_s,time_us,temperature,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1601800041,964000,20.1875,2,12,2,2020-10-04T11:27:21,1601673969.756336,2020-10-03T00:26:09
1601800059,400000,20.1875,54,12,2,2020-10-04T11:27:39,1601673988.419272,2020-10-03T00:26:28
1601800072,745000,20.1875,97,12,2,2020-10-04T11:27:52,1601674001.827924,2020-10-03T00:26:41
1601800091,204000,20.125,144,12,2,2020-10-04T11:28:11,1601674019.6902719,2020-10-03T00:26:59
1601800104,548000,20.125,186,12,2,2020-10-04T11:28:24,1601674033.721616,2020-10-03T00:27:13
1601800123,142000,20.1875,234,12,2,2020-10-04T11:28:43,1601674052.039388,2020-10-03T00:27:32
1601800136,486000,20.1875,23,12,2,2020-10-04T11:28:56,1601674066.180969,2020-10-03T00:27:46
1601800154,912000,20.25,68,12,2,2020-10-04T11:29:14,1601674083.588832,2020-10-03T00:28:03
1601800169,208000,20.25,109,12,2,2020-10-04T11:29:29,1601674097.590512,2020-10-03T00:28:17
1601800186,182000,20.3125,158,12,2,2020-10-04T11:29:46,1601674115.45116,2020-10-03T00:28:35
1601800199,526000,20.3125,202,12,2,2020-10-04T11:29:59,1601674129.0014648,2020-10-03T00:28:49
1601800217,454000,20.5,251,12,2,2020-10-04T11:30:17,1601674146.581176,2020-10-03T00:29:06
1601800230,800000,20.625,39,12,2,2020-10-04T11:30:30,1601674160.855924,2020-10-03T00:29:20
1601800248,728000,20.8125,83,12,2,2020-10-04T11:30:48,1601674178.318781,2020-10-03T00:29:38
1601800262,840000,20.9375,131,12,2,2020-10-04T11:31:02,1601674193.046337,2020-10-03T00:29:53
1601800280,1000,21.0625,177,12,2,2020-10-04T11:31:20,1601674209.8151639,2020-10-03T00:30:09
1601800294,113000,21.1875,225,12,2,2020-10-04T11:31:34,1601674224.142665,2020-10-03T00:30:24
1601800310,324000,21.3125,16,12,2,2020-10-04T11:31:50,1601674241.757144,2020-10-03T00:30:41
1601800325,386000,21.375,59,12,2,2020-10-04T11:32:05,1601674256.2044199,2020-10-03T00:30:56
1601800342,551000,21.5,106,12,2,2020-10-04T11:32:22,1601674273.758908,2020-10-03T00:31:13
1601800356,661000,21.5625,150,12,2,2020-10-04T11:32:36,1601674288.285524,2020-10-03T00:31:28
1601800373,826000,21.625,197,12,2,2020-10-04T11:32:53,1601674306.237624,2020-10-03T00:31:46
1601800391,751000,21.75,244,12,2,2020-10-04T11:33:11,1601674324.177176,2020-10-03T00:32:04
1601800405,102000,21.8125,30,12,2,2020-10-04T11:33:25,1601674337.8774328,2020-10-03T00:32:17
1601800423,25000,21.9375,80,12,2,2020-10-04T11:33:43,1601674355.525169,2020-10-03T00:32:35
1601800437,331000,22.0,127,12,2,2020-10-04T11:33:57,1601674369.866072,2020-10-03T00:32:49
1601800455,253000,22.125,175,12,2,2020-10-04T11:34:15,1601674387.810801,2020-10-03T00:33:07
1601800467,650000,22.1875,218,12,2,2020-10-04T11:34:27,1601674401.939772,2020-10-03T00:33:21
1601800486,527000,22.25,8,12,2,2020-10-04T11:34:46,1601674419.720924,2020-10-03T00:33:39
1601800502,736000,22.3125,55,12,2,2020-10-04T11:35:02,1601674436.577396,2020-10-03T00:33:56
1601800516,843000,22.25,96,12,2,2020-10-04T11:35:16,1601674450.94066,2020-10-03T00:34:10
1601800530,192000,22.1875,147,12,2,2020-10-04T11:35:30,1601674468.560772,2020-10-03T00:34:28
1601800548,113000,22.1875,194,12,2,2020-10-04T11:35:48,1601674482.8643959,2020-10-03T00:34:42
1601800565,277000,22.125,237,12,2,2020-10-04T11:36:05,1601674499.546213,2020-10-03T00:34:59
1601800579,386000,22.1875,22,12,2,2020-10-04T11:36:19,1601674514.412381,2020-10-03T00:35:14
1601800596,552000,22.125,69,12,2,2020-10-04T11:36:36,1601674531.4280238,2020-10-03T00:35:31
1601800610,661000,22.0625,120,12,2,2020-10-04T11:36:50,1601674549.539181,2020-10-03T00:35:49
1601800627,825000,22.0,163,12,2,2020-10-04T11:37:07,1601674563.676205,2020-10-03T00:36:03
1601800641,933000,21.9375,205,12,2,2020-10-04T11:37:21,1601674578.667656,2020-10-03T00:36:18
1601800660,811000,21.9375,252,12,2,2020-10-04T11:37:40,1601674596.489713,2020-10-03T00:36:36
1601800674,162000,21.9375,43,12,2,2020-10-04T11:37:54,1601674611.006036,2020-10-03T00:36:51
1601800692,86000,22.0,86,12,2,2020-10-04T11:38:12,1601674628.3908849,2020-10-03T00:37:08
1601800704,484000,21.9375,130,12,2,2020-10-04T11:38:24,1601674642.2912278,2020-10-03T00:37:22
1601800722,407000,22.0,181,12,2,2020-10-04T11:38:42,1601674659.7895038,2020-10-03T00:37:39
1601800735,757000,nan,228,12,2,2020-10-04T11:38:55,1601674677.122984,2020-10-03T00:37:57
1601800754,635000,22.0625,17,12,2,2020-10-04T11:39:14,1601674692.5073729,2020-10-03T00:38:12
1601800767,986000,22.0,61,12,2,2020-10-04T11:39:27,1601674706.7380328,2020-10-03T00:38:26
1601800785,907000,21.9375,110,12,2,2020-10-04T11:39:45,1601674724.586444,2020-10-03T00:38:44
1601800800,213000,21.875,155,12,2,2020-10-04T11:40:00,1601674738.928189,2020-10-03T00:38:58
1601800818,139000,21.8125,201,12,2,2020-10-04T11:40:18,1601674756.726388,2020-10-03T00:39:16
1601800830,537000,21.8125,245,12,2,2020-10-04T11:40:30,1601674770.412057,2020-10-03T00:39:30
1601800848,455000,21.75,38,12,2,2020-10-04T11:40:48,1601674787.950765,2020-10-03T00:39:47
1601800861,804000,21.625,85,12,2,2020-10-04T11:41:01,1601674805.8099399,2020-10-03T00:40:05
1601800880,681000,21.5625,124,12,2,2020-10-04T11:41:20,1601674819.193753,2020-10-03T00:40:19
1601800894,29000,21.5,172,12,2,2020-10-04T11:41:34,1601674834.3196678,2020-10-03T00:40:34
1601800911,951000,21.375,217,12,2,2020-10-04T11:41:51,1601674852.456477,2020-10-03T00:40:52
1601800926,254000,21.375,6,12,2,2020-10-04T11:42:06,1601674866.674365,2020-10-03T00:41:06
1601800940,363000,21.375,50,12,2,2020-10-04T11:42:20,1601674881.0738158,2020-10-03T00:41:21
1601800957,524000,21.4375,96,12,2,2020-10-04T11:42:37,1601674899.091297,2020-10-03T00:41:39
1601800971,632000,21.4375,139,12,2,2020-10-04T11:42:51,1601674913.094549,2020-10-03T00:41:53
1601800988,792000,21.5,189,12,2,2020-10-04T11:43:08,1601674930.8985128,2020-10-03T00:42:10
1601801002,902000,21.5,232,12,2,2020-10-04T11:43:22,1601674944.7770798,2020-10-03T00:42:24
1601801020,63000,21.4375,25,12,2,2020-10-04T11:43:40,1601674962.839345,2020-10-03T00:42:42
1601801034,171000,21.375,69,12,2,2020-10-04T11:43:54,1601674979.070428,2020-10-03T00:42:59
1601801051,331000,21.375,117,12,2,2020-10-04T11:44:11,1601674994.3350809,2020-10-03T00:43:14
1601801065,440000,21.375,161,12,2,2020-10-04T11:44:25,1601675008.18646,2020-10-03T00:43:28
1601801082,600000,21.375,212,12,2,2020-10-04T11:44:42,1601675026.295629,2020-10-03T00:43:46
1601801100,524000,21.5,3,12,2,2020-10-04T11:45:00,1601675043.893085,2020-10-03T00:44:03
1601801112,917000,21.5,48,12,2,2020-10-04T11:45:12,1601675060.196696,2020-10-03T00:44:20
1601801130,839000,21.5625,96,12,2,2020-10-04T11:45:30,1601675075.008165,2020-10-03T00:44:35
1601801145,140000,21.5,144,12,2,2020-10-04T11:45:45,1601675092.372185,2020-10-03T00:44:52
1601801163,64000,21.4375,190,12,2,2020-10-04T11:46:03,1601675107.193513,2020-10-03T00:45:07
1601801181,940000,21.375,236,12,2,2020-10-04T11:46:21,1601675125.113297,2020-10-03T00:45:25
1601801194,333000,21.3125,24,12,2,2020-10-04T11:46:34,1601675139.7295198,2020-10-03T00:45:39
1601801209,399000,21.25,71,12,2,2020-10-04T11:46:49,1601675157.207152,2020-10-03T00:45:57
