time_s,time_us,deg,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1601800041,796,34.48291778564453,3,21,0,2020-10-04T11:27:21,1601673969.761704,2020-10-03T00:26:09
1601800064,346,34.595359802246094,69,21,0,2020-10-04T11:27:44,1601673992.874076,2020-10-03T00:26:32
1601800085,264,34.76403045654297,128,21,0,2020-10-04T11:28:05,1601674014.8197079,2020-10-03T00:26:54
1601800105,102,35.17632293701172,185,21,0,2020-10-04T11:28:25,1601674033.71534,2020-10-03T00:27:13
1601800128,817,35.17632293701172,245,21,0,2020-10-04T11:28:48,1601674056.050336,2020-10-03T00:27:36
1601800149,738,35.10136413574219,51,21,0,2020-10-04T11:29:09,1601674078.080224,2020-10-03T00:27:58
1601800169,446,35.13884353637695,107,21,0,2020-10-04T11:29:29,1601674097.575621,2020-10-03T00:28:17
1601800191,607,35.40121841430664,169,21,0,2020-10-04T11:29:51,1601674119.811972,2020-10-03T00:28:39
1601800212,527,35.551143646240234,233,21,0,2020-10-04T11:30:12,1601674142.148612,2020-10-03T00:29:02
1601800230,839,35.6261100769043,35,21,0,2020-10-04T11:30:30,1601674160.3888168,2020-10-03T00:29:20
1601800253,905,35.944705963134766,95,21,0,2020-10-04T11:30:53,1601674183.507669,2020-10-03T00:29:43
1601800271,25,36.075889587402344,159,21,0,2020-10-04T11:31:11,1601674204.3786159,2020-10-03T00:30:04
1601800293,144,36.150856018066406,221,21,0,2020-10-04T11:31:33,1601674223.817332,2020-10-03T00:30:23
1601800315,259,35.963443756103516,26,21,0,2020-10-04T11:31:55,1601674246.2534719,2020-10-03T00:30:46
1601800337,136,36.30078125,88,21,0,2020-10-04T11:32:17,1601674268.315588,2020-10-03T00:31:08
1601800356,399,36.169586181640625,148,21,0,2020-10-04T11:32:36,1601674288.274884,2020-10-03T00:31:28
1601800379,468,36.60063934326172,206,21,0,2020-10-04T11:32:59,1601674310.736129,2020-10-03T00:31:50
1601800401,584,36.6568603515625,10,21,0,2020-10-04T11:33:21,1601674332.184337,2020-10-03T00:32:12
1601800418,706,36.63811111450195,72,21,0,2020-10-04T11:33:38,1601674351.451432,2020-10-03T00:32:31
1601800441,774,35.832252502441406,138,21,0,2020-10-04T11:34:01,1601674374.4926288,2020-10-03T00:32:54
1601800458,896,35.719810485839844,194,21,0,2020-10-04T11:34:18,1601674392.9311678,2020-10-03T00:33:12
1601800481,14,36.03839874267578,254,21,0,2020-10-04T11:34:41,1601674415.286988,2020-10-03T00:33:35
1601800503,131,36.469451904296875,60,21,0,2020-10-04T11:35:03,1601674437.255949,2020-10-03T00:33:57
1601800527,149,35.944698333740234,122,21,0,2020-10-04T11:35:27,1601674459.686429,2020-10-03T00:34:19
1601800543,319,36.26329803466797,182,21,0,2020-10-04T11:35:43,1601674478.2854528,2020-10-03T00:34:38
1601800565,439,35.8697395324707,242,21,0,2020-10-04T11:36:05,1601674500.788157,2020-10-03T00:35:00
1601800588,507,36.506927490234375,45,21,0,2020-10-04T11:36:28,1601674523.381057,2020-10-03T00:35:23
1601800606,581,36.31951904296875,105,21,0,2020-10-04T11:36:46,1601674542.264848,2020-10-03T00:35:42
1601800628,696,36.375736236572266,169,21,0,2020-10-04T11:37:08,1601674564.6890168,2020-10-03T00:36:04
1601800651,765,36.338253021240234,225,21,0,2020-10-04T11:37:31,1601674586.848508,2020-10-03T00:36:26
1601800668,888,36.619380950927734,30,21,0,2020-10-04T11:37:48,1601674606.4026048,2020-10-03T00:36:46
1601800691,956,36.525672912597656,89,21,0,2020-10-04T11:38:11,1601674628.418649,2020-10-03T00:37:08
1601800714,72,36.9754524230957,153,21,0,2020-10-04T11:38:34,1601674650.785652,2020-10-03T00:37:30
1601800732,145,36.82551956176758,215,21,0,2020-10-04T11:38:52,1601674669.840637,2020-10-03T00:37:49
1601800754,261,36.78804397583008,21,21,0,2020-10-04T11:39:14,1601674692.548205,2020-10-03T00:38:12
1601800777,329,36.881744384765625,83,21,0,2020-10-04T11:39:37,1601674715.4715118,2020-10-03T00:38:35
1601800795,401,36.82552719116211,144,21,0,2020-10-04T11:39:55,1601674734.397877,2020-10-03T00:38:54
1601800817,519,35.9072265625,203,21,0,2020-10-04T11:40:17,1601674756.743085,2020-10-03T00:39:16
1601800839,634,36.80678176879883,9,21,0,2020-10-04T11:40:39,1601674778.4914598,2020-10-03T00:39:38
1601800858,897,35.9072151184082,71,21,0,2020-10-04T11:40:58,1601674797.751961,2020-10-03T00:39:57
1601800879,880,35.64484405517578,129,21,0,2020-10-04T11:41:19,1601674820.552332,2020-10-03T00:40:20
1601800902,946,35.96344757080078,189,21,0,2020-10-04T11:41:42,1601674842.2709289,2020-10-03T00:40:42
1601800921,259,35.75729751586914,247,21,0,2020-10-04T11:42:01,1601674861.633296,2020-10-03T00:41:01
1601800940,280,35.963443756103516,51,21,0,2020-10-04T11:42:20,1601674881.08198,2020-10-03T00:41:21
1601800962,396,36.60063552856445,111,21,0,2020-10-04T11:42:42,1601674903.683769,2020-10-03T00:41:43
1601800985,463,36.20708084106445,175,21,0,2020-10-04T11:43:05,1601674926.289505,2020-10-03T00:42:06
1601801002,584,36.469444274902344,235,21,0,2020-10-04T11:43:22,1601674945.1305249,2020-10-03T00:42:25
1601801024,696,36.00092697143555,41,21,0,2020-10-04T11:43:44,1601674967.345041,2020-10-03T00:42:47
1601801047,761,35.56987762451172,102,21,0,2020-10-04T11:44:07,1601674989.594049,2020-10-03T00:43:09
1601801064,878,36.22581481933594,164,21,0,2020-10-04T11:44:24,1601675011.613344,2020-10-03T00:43:31
1601801091,745,35.776039123535156,230,21,0,2020-10-04T11:44:51,1601675034.7146568,2020-10-03T00:43:54
1601801113,861,35.963436126708984,37,21,0,2020-10-04T11:45:13,1601675056.523417,2020-10-03T00:44:16
1601801130,978,35.38247299194336,97,21,0,2020-10-04T11:45:30,1601675075.0151799,2020-10-03T00:44:35
