time_s,time_us,temperature,pressure,humidity,altitude,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1601800055,275000,21.332908898448135,102020.11764956862,38.35245124931515,0.0,43,13,0,2020-10-04T11:27:35,1601673983.7891,2020-10-03T00:26:23
1601800072,275000,21.616220704486317,102023.30697705413,37.69320093029819,0.0,93,13,0,2020-10-04T11:27:52,1601674001.8064768,2020-10-03T00:26:41
1601800086,424000,21.703320122320385,102023.20347490374,36.73745708324737,0.0,134,13,0,2020-10-04T11:28:06,1601674015.2761278,2020-10-03T00:26:55
1601800104,424000,21.695982072860737,102018.59405630143,37.28502536019219,0.0,178,13,0,2020-10-04T11:28:24,1601674032.349581,2020-10-03T00:27:12
1601800118,712000,21.872095425879547,102024.36914608993,37.30119377531149,0.0,222,13,0,2020-10-04T11:28:38,1601674047.409345,2020-10-03T00:27:27
1601800136,712000,22.060651954128936,102033.90440631859,38.080758452957646,0.0,16,13,0,2020-10-04T11:28:56,1601674065.818244,2020-10-03T00:27:45
1601800149,827000,22.115847087444696,102032.697355892,37.858960234100174,0.0,58,13,0,2020-10-04T11:29:09,1601674079.0702,2020-10-03T00:27:59
1601800168,827000,22.24984697464099,102027.09881338518,36.79682575501438,0.0,104,13,0,2020-10-04T11:29:28,1601674097.5554008,2020-10-03T00:28:17
1601800181,444000,22.339499392093057,102027.09363605565,36.125141537501605,0.0,146,13,0,2020-10-04T11:29:41,1601674110.734108,2020-10-03T00:28:30
1601800199,444000,22.483390114523196,102030.2550148651,36.38628796092448,0.0,197,13,0,2020-10-04T11:29:59,1601674128.975137,2020-10-03T00:28:48
1601800212,64000,22.617709600681337,102025.03738773747,35.56176100263809,0.0,238,13,0,2020-10-04T11:30:12,1601674142.185273,2020-10-03T00:29:02
1601800231,64000,22.85157274980868,102027.40771569713,35.477232884415606,0.0,31,13,0,2020-10-04T11:30:31,1601674160.362648,2020-10-03T00:29:20
1601800243,684000,23.06406012434784,102025.25764276639,35.79615754472996,0.0,76,13,0,2020-10-04T11:30:43,1601674174.540616,2020-10-03T00:29:34
