time_s,time_us,temperature,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1601800047,500032,25.375,19,10,0,2020-10-04T11:27:27,1601673975.417821,2020-10-03T00:26:15
1601800064,477106,25.875,67,10,0,2020-10-04T11:27:44,1601673992.859849,2020-10-03T00:26:32
1601800082,571234,26.125,111,10,0,2020-10-04T11:28:02,1601674009.427744,2020-10-03T00:26:49
1601800096,573462,26.25,156,10,0,2020-10-04T11:28:16,1601674024.2135608,2020-10-03T00:27:04
1601800114,682148,26.6875,201,10,0,2020-10-04T11:28:34,1601674041.976776,2020-10-03T00:27:21
1601800128,730118,26.9375,244,10,0,2020-10-04T11:28:48,1601674056.043501,2020-10-03T00:27:36
1601800146,621468,27.1875,37,10,0,2020-10-04T11:29:06,1601674073.465425,2020-10-03T00:27:53
1601800159,418331,27.5,77,10,0,2020-10-04T11:29:19,1601674087.214313,2020-10-03T00:28:07
1601800174,184046,27.75,125,10,0,2020-10-04T11:29:34,1601674105.8226528,2020-10-03T00:28:25
1601800190,918552,27.9375,170,10,0,2020-10-04T11:29:50,1601674119.819001,2020-10-03T00:28:39
1601800208,637108,28.125,218,10,0,2020-10-04T11:30:08,1601674136.7201838,2020-10-03T00:28:56
1601800221,434015,28.3125,7,10,0,2020-10-04T11:30:21,1601674150.999877,2020-10-03T00:29:10
1601800240,138233,28.5,55,10,0,2020-10-04T11:30:40,1601674169.4865918,2020-10-03T00:29:29
1601800253,918380,28.75,97,10,0,2020-10-04T11:30:53,1601674183.5225918,2020-10-03T00:29:43
1601800271,637129,29.0,147,10,0,2020-10-04T11:31:11,1601674201.4563239,2020-10-03T00:30:01
1601800284,434039,29.25,191,10,0,2020-10-04T11:31:24,1601674214.722421,2020-10-03T00:30:14
1601800302,152814,29.5,242,10,0,2020-10-04T11:31:42,1601674232.490193,2020-10-03T00:30:32
1601800315,934049,29.6875,27,10,0,2020-10-04T11:31:55,1601674246.258828,2020-10-03T00:30:46
1601800333,652807,30.0,76,10,0,2020-10-04T11:32:13,1601674264.721648,2020-10-03T00:31:04
1601800347,434045,30.125,120,10,0,2020-10-04T11:32:27,1601674278.6747248,2020-10-03T00:31:18
1601800366,137171,30.125,167,10,0,2020-10-04T11:32:46,1601674297.278609,2020-10-03T00:31:37
1601800378,934053,30.3125,208,10,0,2020-10-04T11:32:58,1601674310.748833,2020-10-03T00:31:50
1601800396,657451,30.5,255,10,0,2020-10-04T11:33:16,1601674328.6360118,2020-10-03T00:32:08
1601800410,434066,30.6875,43,10,0,2020-10-04T11:33:30,1601674342.407496,2020-10-03T00:32:22
1601800428,152893,31.0625,94,10,0,2020-10-04T11:33:48,1601674360.718124,2020-10-03T00:32:40
1601800441,934102,31.125,140,10,0,2020-10-04T11:34:01,1601674374.5051,2020-10-03T00:32:54
1601800459,652876,31.3125,187,10,0,2020-10-04T11:34:19,1601674392.068717,2020-10-03T00:33:12
1601800473,434122,31.3125,229,10,0,2020-10-04T11:34:33,1601674406.413316,2020-10-03T00:33:26
1601800491,152884,31.6875,19,10,0,2020-10-04T11:34:51,1601674424.0520449,2020-10-03T00:33:44
1601800503,949742,31.8125,65,10,0,2020-10-04T11:35:03,1601674440.68594,2020-10-03T00:34:00
1601800521,668479,31.8125,110,10,0,2020-10-04T11:35:21,1601674455.594173,2020-10-03T00:34:15
1601800535,449989,32.0,156,10,0,2020-10-04T11:35:35,1601674469.272976,2020-10-03T00:34:29
1601800553,168509,32.0625,205,10,0,2020-10-04T11:35:53,1601674486.975432,2020-10-03T00:34:46
1601800569,902926,32.0,248,10,0,2020-10-04T11:36:09,1601674503.9563959,2020-10-03T00:35:03
1601800583,684162,31.75,38,10,0,2020-10-04T11:36:23,1601674522.182257,2020-10-03T00:35:22
1601800601,402927,31.4375,79,10,0,2020-10-04T11:36:41,1601674535.8762,2020-10-03T00:35:35
1601800616,168508,31.375,128,10,0,2020-10-04T11:36:56,1601674550.918056,2020-10-03T00:35:50
