time_s,time_us,rx_done_cnt,rx_dropped_cnt,rx_error_cnt,tx_done_cnt,tx_zeroes_cnt,tx_overrun_cnt,tx_error_cnt,restarts_cnt,listen_done_cnt,last_error,seq,srcSystem,srcComponent,time_gregorian
2,974500,62,0,0,60,0,0,0,0,122,0,22,13,0,1970-01-01T03:00:02
5,974500,105,0,0,103,0,0,0,0,208,0,36,13,0,1970-01-01T03:00:05
8,974500,148,0,0,146,0,0,0,0,294,0,50,13,0,1970-01-01T03:00:08
11,974500,191,0,0,189,0,0,0,0,380,0,64,13,0,1970-01-01T03:00:11
14,974500,236,0,0,234,0,0,0,0,470,0,78,13,0,1970-01-01T03:00:14
17,974500,282,0,0,280,0,0,0,0,562,0,92,13,0,1970-01-01T03:00:17
20,974500,328,0,0,326,0,0,0,0,654,0,106,13,0,1970-01-01T03:00:20
23,974500,374,0,0,372,0,0,0,0,746,0,120,13,0,1970-01-01T03:00:23
26,974500,420,0,0,418,0,0,0,0,838,0,134,13,0,1970-01-01T03:00:26
29,974500,466,0,0,464,0,0,0,0,930,0,148,13,0,1970-01-01T03:00:29
32,974500,512,0,0,510,0,0,0,0,1022,0,162,13,0,1970-01-01T03:00:32
315964836,322500,560,0,0,556,0,0,0,0,1116,0,176,13,0,1980-01-06T03:00:36
315964839,322500,603,0,0,599,0,0,0,0,1202,0,190,13,0,1980-01-06T03:00:39
315964842,322500,646,0,0,642,0,0,0,0,1288,0,204,13,0,1980-01-06T03:00:42
315964845,322500,689,0,0,685,0,0,0,0,1374,0,218,13,0,1980-01-06T03:00:45
315964848,322500,732,0,0,728,0,0,0,0,1460,0,232,13,0,1980-01-06T03:00:48
315964851,322500,775,0,0,771,0,0,0,0,1546,0,246,13,0,1980-01-06T03:00:51
315964854,322500,818,0,0,814,0,0,0,0,1632,0,4,13,0,1980-01-06T03:00:54
315964857,322500,861,0,0,857,0,0,0,0,1718,0,18,13,0,1980-01-06T03:00:57
315964860,322500,904,0,0,900,0,0,0,0,1804,0,32,13,0,1980-01-06T03:01:00
315964863,322500,948,0,0,944,0,0,0,0,1892,0,46,13,0,1980-01-06T03:01:03
1601799986,330500,993,0,0,987,0,0,0,0,1980,0,60,13,0,2020-10-04T11:26:26
1601799989,330500,1036,0,0,1030,0,0,0,0,2066,0,74,13,0,2020-10-04T11:26:29
1601799992,330500,1079,0,0,1073,0,0,0,0,2152,0,88,13,0,2020-10-04T11:26:32
1601799995,330500,1122,0,0,1116,0,0,0,0,2238,0,102,13,0,2020-10-04T11:26:35
1601799998,330500,1165,0,0,1159,0,0,0,0,2324,0,116,13,0,2020-10-04T11:26:38
1601800001,330500,1208,0,0,1202,0,0,0,0,2410,0,130,13,0,2020-10-04T11:26:41
1601800004,330500,1251,0,0,1245,0,0,0,0,2496,0,144,13,0,2020-10-04T11:26:44
1601800007,330500,1294,0,0,1288,0,0,0,0,2582,0,158,13,0,2020-10-04T11:26:47
1601800010,330500,1339,0,0,1333,0,0,0,0,2672,0,172,13,0,2020-10-04T11:26:50
1601800013,330500,1382,0,0,1376,0,0,0,0,2758,0,186,13,0,2020-10-04T11:26:53
1601800016,595500,1427,0,0,1419,0,0,0,0,2846,0,200,13,0,2020-10-04T11:26:56
1601800019,595500,1470,0,0,1462,0,0,0,0,2932,0,214,13,0,2020-10-04T11:26:59
1601800022,595500,1513,0,0,1505,0,0,0,0,3018,0,228,13,0,2020-10-04T11:27:02
1601800025,595500,1557,0,0,1549,0,0,0,0,3106,0,242,13,0,2020-10-04T11:27:05
1601800028,595500,1603,0,0,1595,0,0,0,0,3198,0,0,13,0,2020-10-04T11:27:08
1601800031,595500,1649,0,0,1641,0,0,0,0,3290,0,14,13,0,2020-10-04T11:27:11
1601800034,595500,1695,0,0,1687,0,0,0,0,3382,0,28,13,0,2020-10-04T11:27:14
1601800037,595500,1741,0,0,1733,0,0,0,0,3474,0,42,13,0,2020-10-04T11:27:17
1601800040,595500,1787,0,0,1779,0,0,0,0,3566,0,56,13,0,2020-10-04T11:27:20
1601800043,595500,1834,0,0,1826,0,0,0,0,3660,0,70,13,0,2020-10-04T11:27:23
1601800046,676500,1885,0,0,1875,0,0,0,0,3760,0,84,13,0,2020-10-04T11:27:26
1601800049,676500,1934,0,0,1924,0,0,0,0,3858,0,98,13,0,2020-10-04T11:27:29
1601800052,676500,1983,0,0,1973,0,0,0,0,3956,0,112,13,0,2020-10-04T11:27:32
1601800055,676500,2032,0,0,2022,0,0,0,0,4054,0,126,13,0,2020-10-04T11:27:35
1601800058,676500,2080,0,0,2070,0,0,0,0,4150,0,140,13,0,2020-10-04T11:27:38
1601800061,676500,2126,0,0,2116,0,0,0,0,4242,0,154,13,0,2020-10-04T11:27:41
1601800064,676500,2172,0,0,2162,0,0,0,0,4334,0,168,13,0,2020-10-04T11:27:44
1601800067,676500,2218,0,0,2208,0,0,0,0,4426,0,182,13,0,2020-10-04T11:27:47
1601800070,676500,2264,0,0,2254,0,0,0,0,4518,0,196,13,0,2020-10-04T11:27:50
1601800073,676500,2310,0,0,2300,0,0,0,0,4610,0,210,13,0,2020-10-04T11:27:53
1601800076,676500,2356,0,0,2346,0,0,0,0,4702,0,224,13,0,2020-10-04T11:27:56
1601800079,825500,2404,0,0,2392,0,0,0,0,4796,0,238,13,0,2020-10-04T11:27:59
1601800082,825500,2448,0,0,2436,0,0,0,0,4884,0,252,13,0,2020-10-04T11:28:02
1601800085,825500,2493,0,0,2481,0,0,0,0,4974,0,10,13,0,2020-10-04T11:28:05
1601800088,825500,2539,0,0,2527,0,0,0,0,5066,0,24,13,0,2020-10-04T11:28:08
1601800091,825500,2585,0,0,2573,0,0,0,0,5158,0,38,13,0,2020-10-04T11:28:11
1601800094,825500,2631,0,0,2619,0,0,0,0,5250,0,52,13,0,2020-10-04T11:28:14
1601800097,825500,2677,0,0,2665,0,0,0,0,5342,0,66,13,0,2020-10-04T11:28:17
1601800100,825500,2723,0,0,2711,0,0,0,0,5434,0,80,13,0,2020-10-04T11:28:20
1601800103,825500,2768,0,0,2755,0,0,0,0,5523,0,94,13,0,2020-10-04T11:28:23
1601800106,825500,2813,0,0,2801,0,0,0,0,5614,0,108,13,0,2020-10-04T11:28:26
1601800110,113500,2861,0,0,2847,0,0,0,0,5708,0,122,13,0,2020-10-04T11:28:30
1601800113,113500,2907,0,0,2893,0,0,0,0,5800,0,136,13,0,2020-10-04T11:28:33
1601800116,113500,2953,0,0,2939,0,0,0,0,5892,0,150,13,0,2020-10-04T11:28:36
1601800119,113500,2999,0,0,2985,0,0,0,0,5984,0,164,13,0,2020-10-04T11:28:39
1601800122,113500,3044,0,0,3030,0,0,0,0,6074,0,178,13,0,2020-10-04T11:28:42
1601800125,113500,3090,0,0,3076,0,0,0,0,6166,0,192,13,0,2020-10-04T11:28:45
1601800128,113500,3136,0,0,3122,0,0,0,0,6258,0,206,13,0,2020-10-04T11:28:48
1601800131,113500,3182,0,0,3168,0,0,0,0,6350,0,220,13,0,2020-10-04T11:28:51
1601800134,113500,3228,0,0,3214,0,0,0,0,6442,0,234,13,0,2020-10-04T11:28:54
1601800137,113500,3274,0,0,3260,0,0,0,0,6534,0,248,13,0,2020-10-04T11:28:57
1601800140,228500,3322,0,0,3306,0,0,0,0,6628,0,6,13,0,2020-10-04T11:29:00
1601800143,228500,3368,0,0,3352,0,0,0,0,6720,0,20,13,0,2020-10-04T11:29:03
1601800146,228500,3414,0,0,3398,0,0,0,0,6812,0,34,13,0,2020-10-04T11:29:06
1601800149,228500,3460,0,0,3444,0,0,0,0,6904,0,48,13,0,2020-10-04T11:29:09
1601800152,228500,3506,0,0,3490,0,0,0,0,6996,0,62,13,0,2020-10-04T11:29:12
1601800155,228500,3555,0,0,3539,0,0,0,0,7094,0,76,13,0,2020-10-04T11:29:15
1601800158,228500,3604,0,0,3588,0,0,0,0,7192,0,90,13,0,2020-10-04T11:29:18
1601800161,228500,3653,0,0,3637,0,0,0,0,7290,0,104,13,0,2020-10-04T11:29:21
1601800164,228500,3702,0,0,3686,0,0,0,0,7388,0,118,13,0,2020-10-04T11:29:24
1601800167,228500,3751,0,0,3735,0,0,0,0,7486,0,132,13,0,2020-10-04T11:29:27
1601800170,228500,3800,0,0,3784,0,0,0,0,7584,0,146,13,0,2020-10-04T11:29:30
1601800172,845500,3851,0,0,3833,0,0,0,0,7684,0,160,13,0,2020-10-04T11:29:32
1601800175,845500,3900,0,0,3882,0,0,0,0,7782,0,174,13,0,2020-10-04T11:29:35
1601800178,845500,3949,0,0,3931,0,0,0,0,7880,0,188,13,0,2020-10-04T11:29:38
1601800181,845500,3995,0,0,3977,0,0,0,0,7972,0,202,13,0,2020-10-04T11:29:41
1601800184,845500,4041,0,0,4023,0,0,0,0,8064,0,216,13,0,2020-10-04T11:29:44
1601800187,845500,4087,0,0,4069,0,0,0,0,8156,0,230,13,0,2020-10-04T11:29:47
1601800190,845500,4133,0,0,4115,0,0,0,0,8248,0,244,13,0,2020-10-04T11:29:50
1601800193,845500,4179,0,0,4161,0,0,0,0,8340,0,2,13,0,2020-10-04T11:29:53
1601800196,845500,4225,0,0,4207,0,0,0,0,8432,0,16,13,0,2020-10-04T11:29:56
1601800199,845500,4271,0,0,4253,0,0,0,0,8524,0,30,13,0,2020-10-04T11:29:59
1601800202,465500,4319,0,0,4299,0,0,0,0,8618,0,44,13,0,2020-10-04T11:30:02
1601800205,465500,4365,0,0,4345,0,0,0,0,8710,0,58,13,0,2020-10-04T11:30:05
1601800208,465500,4412,0,0,4392,0,0,0,0,8804,0,72,13,0,2020-10-04T11:30:08
1601800211,465500,4458,0,0,4438,0,0,0,0,8896,0,86,13,0,2020-10-04T11:30:11
1601800214,465500,4504,0,0,4484,0,0,0,0,8988,0,100,13,0,2020-10-04T11:30:14
1601800217,465500,4550,0,0,4530,0,0,0,0,9080,0,114,13,0,2020-10-04T11:30:17
1601800220,465500,4596,0,0,4576,0,0,0,0,9172,0,128,13,0,2020-10-04T11:30:20
1601800223,465500,4643,0,0,4623,0,0,0,0,9266,0,142,13,0,2020-10-04T11:30:23
1601800226,465500,4690,0,0,4670,0,0,0,0,9360,0,156,13,0,2020-10-04T11:30:26
1601800229,465500,4736,0,0,4716,0,0,0,0,9452,0,170,13,0,2020-10-04T11:30:29
1601800232,85500,4784,0,0,4762,0,0,0,0,9546,0,184,13,0,2020-10-04T11:30:32
1601800235,85500,4830,0,0,4808,0,0,0,0,9638,0,198,13,0,2020-10-04T11:30:35
1601800238,85500,4876,0,0,4854,0,0,0,0,9730,0,212,13,0,2020-10-04T11:30:38
1601800241,85500,4923,0,0,4901,0,0,0,0,9824,0,226,13,0,2020-10-04T11:30:41
1601800244,85500,4969,0,0,4947,0,0,0,0,9916,0,240,13,0,2020-10-04T11:30:44
1601800247,85500,5015,0,0,4993,0,0,0,0,10008,0,254,13,0,2020-10-04T11:30:47
1601800250,85500,5061,0,0,5039,0,0,0,0,10100,0,12,13,0,2020-10-04T11:30:50
1601800253,85500,5107,0,0,5085,0,0,0,0,10192,0,26,13,0,2020-10-04T11:30:53
1601800256,85500,5153,0,0,5131,0,0,0,0,10284,0,40,13,0,2020-10-04T11:30:56
1601800259,85500,5199,0,0,5177,0,0,0,0,10376,0,54,13,0,2020-10-04T11:30:59
1601800262,85500,5246,0,0,5224,0,0,0,0,10470,0,68,13,0,2020-10-04T11:31:02
1601800264,708500,5297,0,0,5273,0,0,0,0,10570,0,82,13,0,2020-10-04T11:31:04
1601800267,708500,5346,0,0,5322,0,0,0,0,10668,0,96,13,0,2020-10-04T11:31:07
1601800270,708500,5395,0,0,5371,0,0,0,0,10766,0,110,13,0,2020-10-04T11:31:10
1601800273,708500,5444,0,0,5420,0,0,0,0,10864,0,124,13,0,2020-10-04T11:31:13
1601800276,708500,5493,0,0,5469,0,0,0,0,10962,0,138,13,0,2020-10-04T11:31:16
1601800279,708500,5542,0,0,5518,0,0,0,0,11060,0,152,13,0,2020-10-04T11:31:19
1601800282,708500,5591,0,0,5567,0,0,0,0,11158,0,166,13,0,2020-10-04T11:31:22
1601800285,708500,5640,0,0,5616,0,0,0,0,11256,0,180,13,0,2020-10-04T11:31:25
1601800288,708500,5689,0,0,5665,0,0,0,0,11354,0,194,13,0,2020-10-04T11:31:28
1601800291,708500,5737,0,0,5713,0,0,0,0,11450,0,208,13,0,2020-10-04T11:31:31
1601800294,332500,5785,0,0,5759,0,0,0,0,11544,0,222,13,0,2020-10-04T11:31:34
1601800297,332500,5831,0,0,5805,0,0,0,0,11636,0,236,13,0,2020-10-04T11:31:37
1601800300,332500,5877,0,0,5851,0,0,0,0,11728,0,250,13,0,2020-10-04T11:31:40
1601800303,332500,5923,0,0,5897,0,0,0,0,11820,0,8,13,0,2020-10-04T11:31:43
1601800306,332500,5969,0,0,5943,0,0,0,0,11912,0,22,13,0,2020-10-04T11:31:46
1601800309,332500,6015,0,0,5989,0,0,0,0,12004,0,36,13,0,2020-10-04T11:31:49
1601800312,332500,6062,0,0,6036,0,0,0,0,12098,0,50,13,0,2020-10-04T11:31:52
1601800315,332500,6109,0,0,6083,0,0,0,0,12192,0,64,13,0,2020-10-04T11:31:55
1601800318,332500,6153,0,0,6127,0,0,0,0,12280,0,78,13,0,2020-10-04T11:31:58
1601800321,332500,6199,0,0,6173,0,0,0,0,12372,0,92,13,0,2020-10-04T11:32:01
1601800323,956500,6247,0,0,6219,0,0,0,0,12466,0,106,13,0,2020-10-04T11:32:03
1601800326,956500,6294,0,0,6266,0,0,0,0,12560,0,120,13,0,2020-10-04T11:32:06
1601800329,956500,6342,0,0,6314,0,0,0,0,12656,0,134,13,0,2020-10-04T11:32:09
1601800332,956500,6390,0,0,6362,0,0,0,0,12752,0,148,13,0,2020-10-04T11:32:12
1601800335,956500,6436,0,0,6408,0,0,0,0,12844,0,162,13,0,2020-10-04T11:32:15
1601800338,956500,6482,0,0,6454,0,0,0,0,12936,0,176,13,0,2020-10-04T11:32:18
1601800341,956500,6528,0,0,6500,0,0,0,0,13028,0,190,13,0,2020-10-04T11:32:21
1601800344,956500,6574,0,0,6546,0,0,0,0,13120,0,204,13,0,2020-10-04T11:32:24
1601800347,956500,6620,0,0,6592,0,0,0,0,13212,0,218,13,0,2020-10-04T11:32:27
1601800350,956500,6666,0,0,6638,0,0,0,0,13304,0,232,13,0,2020-10-04T11:32:30
1601800353,580500,6715,0,0,6685,0,0,0,0,13400,0,246,13,0,2020-10-04T11:32:33
1601800356,580500,6761,0,0,6731,0,0,0,0,13492,0,4,13,0,2020-10-04T11:32:36
1601800359,580500,6806,0,0,6776,0,0,0,0,13582,0,18,13,0,2020-10-04T11:32:39
1601800362,580500,6852,0,0,6822,0,0,0,0,13674,0,32,13,0,2020-10-04T11:32:42
1601800365,580500,6898,0,0,6868,0,0,0,0,13766,0,46,13,0,2020-10-04T11:32:45
1601800368,580500,6944,0,0,6914,0,0,0,0,13858,0,60,13,0,2020-10-04T11:32:48
1601800371,580500,6993,0,0,6963,0,0,0,0,13956,0,74,13,0,2020-10-04T11:32:51
1601800374,580500,7042,0,0,7012,0,0,0,0,14054,0,88,13,0,2020-10-04T11:32:54
1601800377,580500,7091,0,0,7061,0,0,0,0,14152,0,102,13,0,2020-10-04T11:32:57
1601800380,580500,7140,0,0,7110,0,0,0,0,14250,0,116,13,0,2020-10-04T11:33:00
1601800383,580500,7189,0,0,7159,0,0,0,0,14348,0,130,13,0,2020-10-04T11:33:03
1601800386,205500,7240,0,0,7208,0,0,0,0,14448,0,144,13,0,2020-10-04T11:33:06
1601800389,205500,7289,0,0,7257,0,0,0,0,14546,0,158,13,0,2020-10-04T11:33:09
1601800392,205500,7338,0,0,7306,0,0,0,0,14644,0,172,13,0,2020-10-04T11:33:12
1601800395,205500,7387,0,0,7355,0,0,0,0,14742,0,186,13,0,2020-10-04T11:33:15
1601800398,205500,7435,0,0,7403,0,0,0,0,14838,0,200,13,0,2020-10-04T11:33:18
1601800401,205500,7482,0,0,7450,0,0,0,0,14932,0,214,13,0,2020-10-04T11:33:21
1601800404,205500,7528,0,0,7496,0,0,0,0,15024,0,228,13,0,2020-10-04T11:33:24
1601800407,205500,7574,0,0,7542,0,0,0,0,15116,0,242,13,0,2020-10-04T11:33:27
1601800410,205500,7620,0,0,7588,0,0,0,0,15208,0,0,13,0,2020-10-04T11:33:30
1601800413,205500,7666,0,0,7634,0,0,0,0,15300,0,14,13,0,2020-10-04T11:33:33
1601800415,828500,7712,0,0,7678,0,0,0,0,15390,0,28,13,0,2020-10-04T11:33:35
1601800418,828500,7758,0,0,7724,0,0,0,0,15482,0,42,13,0,2020-10-04T11:33:38
1601800421,828500,7804,0,0,7770,0,0,0,0,15574,0,56,13,0,2020-10-04T11:33:41
1601800424,828500,7851,0,0,7817,0,0,0,0,15668,0,70,13,0,2020-10-04T11:33:44
1601800427,828500,7897,0,0,7863,0,0,0,0,15760,0,84,13,0,2020-10-04T11:33:47
