time_s,time_us,deg,seq,srcSystem,srcComponent,time_gregorian
4,625500,26.21814727783203,18,13,0,1970-01-01T03:00:04
3,173000,26.780380249023438,23,13,0,1970-01-01T03:00:03
4,173000,26.592988967895508,27,13,0,1970-01-01T03:00:04
5,173000,26.780380249023438,32,13,0,1970-01-01T03:00:05
6,173000,26.780380249023438,37,13,0,1970-01-01T03:00:06
7,173000,26.780380249023438,41,13,0,1970-01-01T03:00:07
8,173000,26.967802047729492,46,13,0,1970-01-01T03:00:08
9,173000,27.5300350189209,51,13,0,1970-01-01T03:00:09
10,173000,26.967802047729492,55,13,0,1970-01-01T03:00:10
11,173000,26.967802047729492,60,13,0,1970-01-01T03:00:11
12,173000,27.342615127563477,65,13,0,1970-01-01T03:00:12
13,173000,27.342615127563477,69,13,0,1970-01-01T03:00:13
14,173000,27.717426300048828,74,13,0,1970-01-01T03:00:14
15,173000,27.155221939086914,79,13,0,1970-01-01T03:00:15
16,173000,27.155221939086914,83,13,0,1970-01-01T03:00:16
17,173000,27.5300350189209,88,13,0,1970-01-01T03:00:17
18,173000,27.717426300048828,93,13,0,1970-01-01T03:00:18
19,173000,27.5300350189209,97,13,0,1970-01-01T03:00:19
20,173000,27.5300350189209,102,13,0,1970-01-01T03:00:20
21,173000,27.717426300048828,107,13,0,1970-01-01T03:00:21
22,173000,27.717426300048828,111,13,0,1970-01-01T03:00:22
23,173000,27.5300350189209,116,13,0,1970-01-01T03:00:23
24,173000,27.717426300048828,121,13,0,1970-01-01T03:00:24
25,173000,27.717426300048828,125,13,0,1970-01-01T03:00:25
26,173000,27.717426300048828,130,13,0,1970-01-01T03:00:26
27,173000,28.092267990112305,135,13,0,1970-01-01T03:00:27
28,173000,27.717426300048828,139,13,0,1970-01-01T03:00:28
29,173000,27.717426300048828,144,13,0,1970-01-01T03:00:29
30,173000,27.5300350189209,149,13,0,1970-01-01T03:00:30
31,173000,27.904848098754883,153,13,0,1970-01-01T03:00:31
32,173000,28.279659271240234,158,13,0,1970-01-01T03:00:32
315964833,521000,28.092267990112305,163,13,0,1980-01-06T03:00:33
315964834,521000,27.5300350189209,167,13,0,1980-01-06T03:00:34
315964835,521000,27.717426300048828,172,13,0,1980-01-06T03:00:35
315964836,521000,28.46708106994629,177,13,0,1980-01-06T03:00:36
315964837,521000,28.092267990112305,181,13,0,1980-01-06T03:00:37
315964838,521000,28.092267990112305,186,13,0,1980-01-06T03:00:38
315964839,521000,27.717426300048828,191,13,0,1980-01-06T03:00:39
315964840,521000,27.904848098754883,195,13,0,1980-01-06T03:00:40
315964841,521000,28.279659271240234,200,13,0,1980-01-06T03:00:41
315964842,521000,28.092267990112305,205,13,0,1980-01-06T03:00:42
315964843,521000,27.904848098754883,209,13,0,1980-01-06T03:00:43
315964844,521000,28.092267990112305,214,13,0,1980-01-06T03:00:44
315964845,521000,28.279659271240234,219,13,0,1980-01-06T03:00:45
315964846,521000,28.279659271240234,223,13,0,1980-01-06T03:00:46
315964847,521000,27.904848098754883,228,13,0,1980-01-06T03:00:47
315964848,521000,28.279659271240234,233,13,0,1980-01-06T03:00:48
315964849,521000,28.279659271240234,237,13,0,1980-01-06T03:00:49
315964850,521000,28.46708106994629,242,13,0,1980-01-06T03:00:50
315964851,521000,28.46708106994629,247,13,0,1980-01-06T03:00:51
315964852,521000,28.279659271240234,251,13,0,1980-01-06T03:00:52
315964853,521000,28.279659271240234,0,13,0,1980-01-06T03:00:53
315964854,521000,28.279659271240234,5,13,0,1980-01-06T03:00:54
315964855,521000,28.46708106994629,9,13,0,1980-01-06T03:00:55
315964856,521000,28.46708106994629,14,13,0,1980-01-06T03:00:56
315964857,521000,28.279659271240234,19,13,0,1980-01-06T03:00:57
315964858,521000,28.092267990112305,23,13,0,1980-01-06T03:00:58
