time_s,time_us,o2_conc,seq,srcSystem,srcComponent,time_gregorian
4,225500,17.60066795349121,16,13,0,1970-01-01T03:00:04
2,773000,17.965883255004883,20,13,0,1970-01-01T03:00:02
3,773000,18.52775764465332,25,13,0,1970-01-01T03:00:03
4,773000,18.52775764465332,30,13,0,1970-01-01T03:00:04
5,773000,18.078258514404297,34,13,0,1970-01-01T03:00:05
6,773000,18.23277473449707,39,13,0,1970-01-01T03:00:06
7,773000,18.513710021972656,44,13,0,1970-01-01T03:00:07
8,773000,18.513710021972656,48,13,0,1970-01-01T03:00:08
9,773000,18.513710021972656,53,13,0,1970-01-01T03:00:09
10,773000,17.909696578979492,58,13,0,1970-01-01T03:00:10
11,773000,17.85350799560547,62,13,0,1970-01-01T03:00:11
12,773000,18.52775764465332,67,13,0,1970-01-01T03:00:12
13,773000,18.513710021972656,72,13,0,1970-01-01T03:00:13
14,773000,18.12040138244629,76,13,0,1970-01-01T03:00:14
15,773000,17.895648956298828,81,13,0,1970-01-01T03:00:15
16,773000,18.513710021972656,86,13,0,1970-01-01T03:00:16
17,773000,18.513710021972656,90,13,0,1970-01-01T03:00:17
18,773000,18.513710021972656,95,13,0,1970-01-01T03:00:18
19,773000,17.99397850036621,100,13,0,1970-01-01T03:00:19
20,773000,18.008024215698242,104,13,0,1970-01-01T03:00:20
21,773000,18.513710021972656,109,13,0,1970-01-01T03:00:21
22,773000,18.52775764465332,114,13,0,1970-01-01T03:00:22
23,773000,18.52775764465332,118,13,0,1970-01-01T03:00:23
24,773000,18.190631866455078,123,13,0,1970-01-01T03:00:24
25,773000,18.246822357177734,128,13,0,1970-01-01T03:00:25
26,773000,18.52775764465332,132,13,0,1970-01-01T03:00:26
27,773000,18.513710021972656,137,13,0,1970-01-01T03:00:27
28,773000,18.513710021972656,142,13,0,1970-01-01T03:00:28
29,773000,18.23277473449707,146,13,0,1970-01-01T03:00:29
30,773000,18.331100463867188,151,13,0,1970-01-01T03:00:30
31,773000,18.52775764465332,156,13,0,1970-01-01T03:00:31
32,773000,18.499664306640625,160,13,0,1970-01-01T03:00:32
315964834,121000,18.260868072509766,165,13,0,1980-01-06T03:00:34
315964835,121000,17.895648956298828,170,13,0,1980-01-06T03:00:35
315964836,121000,18.513710021972656,174,13,0,1980-01-06T03:00:36
315964837,121000,18.499664306640625,179,13,0,1980-01-06T03:00:37
315964838,121000,18.54180335998535,184,13,0,1980-01-06T03:00:38
315964839,121000,18.008024215698242,188,13,0,1980-01-06T03:00:39
315964840,121000,18.218725204467773,193,13,0,1980-01-06T03:00:40
315964841,121000,18.513710021972656,198,13,0,1980-01-06T03:00:41
315964842,121000,18.513710021972656,202,13,0,1980-01-06T03:00:42
315964843,121000,18.52775764465332,207,13,0,1980-01-06T03:00:43
315964844,121000,18.106353759765625,212,13,0,1980-01-06T03:00:44
315964845,121000,18.14849281311035,216,13,0,1980-01-06T03:00:45
315964846,121000,18.52775764465332,221,13,0,1980-01-06T03:00:46
315964847,121000,18.55585289001465,226,13,0,1980-01-06T03:00:47
315964848,121000,17.867555618286133,230,13,0,1980-01-06T03:00:48
315964849,121000,17.965883255004883,235,13,0,1980-01-06T03:00:49
315964850,121000,18.513710021972656,240,13,0,1980-01-06T03:00:50
315964851,121000,18.54180335998535,244,13,0,1980-01-06T03:00:51
315964852,121000,18.14849281311035,249,13,0,1980-01-06T03:00:52
315964853,121000,18.27491569519043,254,13,0,1980-01-06T03:00:53
315964854,121000,17.881603240966797,2,13,0,1980-01-06T03:00:54
315964855,121000,18.54180335998535,7,13,0,1980-01-06T03:00:55
315964856,121000,18.54180335998535,12,13,0,1980-01-06T03:00:56
315964857,121000,18.52775764465332,16,13,0,1980-01-06T03:00:57
315964858,121000,18.190631866455078,21,13,0,1980-01-06T03:00:58
315964859,121000,17.99397850036621,26,13,0,1980-01-06T03:00:59
315964860,121000,18.54180335998535,30,13,0,1980-01-06T03:01:00
315964861,121000,18.54180335998535,35,13,0,1980-01-06T03:01:01
315964862,121000,18.162540435791016,40,13,0,1980-01-06T03:01:02
315964863,121000,18.359195709228516,44,13,0,1980-01-06T03:01:03
315964864,121000,18.331100463867188,49,13,0,1980-01-06T03:01:04
1601799985,129000,18.54180335998535,54,13,0,2020-10-04T11:26:25
1601799986,129000,18.54180335998535,58,13,0,2020-10-04T11:26:26
1601799987,129000,18.54180335998535,63,13,0,2020-10-04T11:26:27
1601799988,129000,18.218725204467773,68,13,0,2020-10-04T11:26:28
1601799989,129000,18.0501651763916,72,13,0,2020-10-04T11:26:29
1601799990,129000,18.54180335998535,77,13,0,2020-10-04T11:26:30
1601799991,129000,18.54180335998535,82,13,0,2020-10-04T11:26:31
1601799992,129000,17.99397850036621,86,13,0,2020-10-04T11:26:32
1601799993,129000,17.881603240966797,91,13,0,2020-10-04T11:26:33
1601799994,129000,18.55585289001465,96,13,0,2020-10-04T11:26:34
1601799995,129000,18.54180335998535,100,13,0,2020-10-04T11:26:35
1601799996,129000,18.55585289001465,105,13,0,2020-10-04T11:26:36
1601799997,129000,18.092308044433594,110,13,0,2020-10-04T11:26:37
1601799998,129000,18.106353759765625,114,13,0,2020-10-04T11:26:38
1601799999,129000,18.52775764465332,119,13,0,2020-10-04T11:26:39
1601800000,129000,18.54180335998535,124,13,0,2020-10-04T11:26:40
1601800001,129000,18.303009033203125,128,13,0,2020-10-04T11:26:41
1601800002,129000,18.022071838378906,133,13,0,2020-10-04T11:26:42
1601800003,129000,18.54180335998535,138,13,0,2020-10-04T11:26:43
1601800004,129000,18.54180335998535,142,13,0,2020-10-04T11:26:44
1601800005,129000,18.55585289001465,147,13,0,2020-10-04T11:26:45
1601800006,129000,18.218725204467773,152,13,0,2020-10-04T11:26:46
1601800007,129000,18.064212799072266,156,13,0,2020-10-04T11:26:47
1601800008,129000,18.55585289001465,161,13,0,2020-10-04T11:26:48
1601800009,129000,18.54180335998535,166,13,0,2020-10-04T11:26:49
1601800010,129000,18.218725204467773,170,13,0,2020-10-04T11:26:50
1601800011,129000,18.078258514404297,175,13,0,2020-10-04T11:26:51
1601800012,129000,18.52775764465332,180,13,0,2020-10-04T11:26:52
1601800013,129000,18.54180335998535,184,13,0,2020-10-04T11:26:53
1601800014,129000,18.54180335998535,189,13,0,2020-10-04T11:26:54
1601800015,129000,18.17658805847168,194,13,0,2020-10-04T11:26:55
1601800016,394000,18.260868072509766,198,13,0,2020-10-04T11:26:56
1601800017,394000,18.54180335998535,203,13,0,2020-10-04T11:26:57
1601800018,394000,18.54180335998535,208,13,0,2020-10-04T11:26:58
1601800019,394000,18.078258514404297,212,13,0,2020-10-04T11:26:59
1601800020,394000,18.064212799072266,217,13,0,2020-10-04T11:27:00
1601800021,394000,18.55585289001465,222,13,0,2020-10-04T11:27:01
1601800022,394000,18.54180335998535,226,13,0,2020-10-04T11:27:02
1601800023,394000,18.54180335998535,231,13,0,2020-10-04T11:27:03
1601800024,394000,18.17658805847168,236,13,0,2020-10-04T11:27:04
1601800025,394000,18.190631866455078,240,13,0,2020-10-04T11:27:05
1601800026,394000,18.56989860534668,245,13,0,2020-10-04T11:27:06
1601800027,394000,18.55585289001465,250,13,0,2020-10-04T11:27:07
1601800028,394000,18.246822357177734,254,13,0,2020-10-04T11:27:08
1601800029,394000,18.27491569519043,3,13,0,2020-10-04T11:27:09
1601800030,394000,18.55585289001465,8,13,0,2020-10-04T11:27:10
1601800031,394000,18.56989860534668,12,13,0,2020-10-04T11:27:11
1601800032,394000,18.55585289001465,17,13,0,2020-10-04T11:27:12
1601800033,394000,18.359195709228516,22,13,0,2020-10-04T11:27:13
1601800034,394000,18.13444709777832,26,13,0,2020-10-04T11:27:14
1601800035,394000,18.54180335998535,31,13,0,2020-10-04T11:27:15
1601800036,394000,18.55585289001465,36,13,0,2020-10-04T11:27:16
1601800037,394000,18.092308044433594,40,13,0,2020-10-04T11:27:17
1601800038,394000,18.246822357177734,45,13,0,2020-10-04T11:27:18
1601800039,394000,18.064212799072266,50,13,0,2020-10-04T11:27:19
1601800040,394000,18.56989860534668,54,13,0,2020-10-04T11:27:20
1601800041,394000,18.52775764465332,59,13,0,2020-10-04T11:27:21
1601800042,394000,18.331100463867188,64,13,0,2020-10-04T11:27:22
1601800043,394000,18.162540435791016,68,13,0,2020-10-04T11:27:23
1601800044,394000,18.55585289001465,73,13,0,2020-10-04T11:27:24
1601800045,394000,18.55585289001465,78,13,0,2020-10-04T11:27:25
1601800046,394000,18.54180335998535,82,13,0,2020-10-04T11:27:26
1601800047,475000,18.008024215698242,87,13,0,2020-10-04T11:27:27
1601800048,475000,18.106353759765625,92,13,0,2020-10-04T11:27:28
1601800049,475000,18.55585289001465,96,13,0,2020-10-04T11:27:29
