time_s,time_us,bme_last_error,bme_error_counter,adc_last_error,adc_error_counter,resets_count,reset_cause,seq,srcSystem,srcComponent,time_gregorian
4,26500,0,0,0,0,1,2,15,13,0,1970-01-01T03:00:04
4,574000,0,0,0,0,1,2,29,13,0,1970-01-01T03:00:04
7,574000,0,0,0,0,1,2,43,13,0,1970-01-01T03:00:07
10,574000,0,0,0,0,1,2,57,13,0,1970-01-01T03:00:10
13,574000,0,0,0,0,1,2,71,13,0,1970-01-01T03:00:13
16,574000,0,0,0,0,1,2,85,13,0,1970-01-01T03:00:16
19,574000,0,0,0,0,1,2,99,13,0,1970-01-01T03:00:19
22,574000,0,0,0,0,1,2,113,13,0,1970-01-01T03:00:22
25,574000,0,0,0,0,1,2,127,13,0,1970-01-01T03:00:25
28,574000,0,0,0,0,1,2,141,13,0,1970-01-01T03:00:28
31,574000,0,0,0,0,1,2,155,13,0,1970-01-01T03:00:31
315964834,922000,0,0,0,0,1,2,169,13,0,1980-01-06T03:00:34
315964837,922000,0,0,0,0,1,2,183,13,0,1980-01-06T03:00:37
315964840,922000,0,0,0,0,1,2,197,13,0,1980-01-06T03:00:40
315964843,922000,0,0,0,0,1,2,211,13,0,1980-01-06T03:00:43
315964846,922000,0,0,0,0,1,2,225,13,0,1980-01-06T03:00:46
315964849,922000,0,0,0,0,1,2,239,13,0,1980-01-06T03:00:49
315964852,922000,0,0,0,0,1,2,253,13,0,1980-01-06T03:00:52
315964855,922000,0,0,0,0,1,2,11,13,0,1980-01-06T03:00:55
315964858,922000,0,0,0,0,1,2,25,13,0,1980-01-06T03:00:58
315964861,922000,0,0,0,0,1,2,39,13,0,1980-01-06T03:01:01
1601799984,930000,0,0,0,0,1,2,53,13,0,2020-10-04T11:26:24
1601799987,930000,0,0,0,0,1,2,67,13,0,2020-10-04T11:26:27
1601799990,930000,0,0,0,0,1,2,81,13,0,2020-10-04T11:26:30
1601799993,930000,0,0,0,0,1,2,95,13,0,2020-10-04T11:26:33
1601799996,930000,0,0,0,0,1,2,109,13,0,2020-10-04T11:26:36
1601799999,930000,0,0,0,0,1,2,123,13,0,2020-10-04T11:26:39
1601800002,930000,0,0,0,0,1,2,137,13,0,2020-10-04T11:26:42
1601800005,930000,0,0,0,0,1,2,151,13,0,2020-10-04T11:26:45
1601800008,930000,0,0,0,0,1,2,165,13,0,2020-10-04T11:26:48
1601800011,930000,0,0,0,0,1,2,179,13,0,2020-10-04T11:26:51
1601800014,930000,0,0,0,0,1,2,193,13,0,2020-10-04T11:26:54
1601800018,195000,0,0,0,0,1,2,207,13,0,2020-10-04T11:26:58
1601800021,195000,0,0,0,0,1,2,221,13,0,2020-10-04T11:27:01
1601800024,195000,0,0,0,0,1,2,235,13,0,2020-10-04T11:27:04
1601800027,195000,0,0,0,0,1,2,249,13,0,2020-10-04T11:27:07
1601800030,195000,0,0,0,0,1,2,7,13,0,2020-10-04T11:27:10
1601800033,195000,0,0,0,0,1,2,21,13,0,2020-10-04T11:27:13
1601800036,195000,0,0,0,0,1,2,35,13,0,2020-10-04T11:27:16
1601800039,195000,0,0,0,0,1,2,49,13,0,2020-10-04T11:27:19
1601800042,195000,0,0,0,0,1,2,63,13,0,2020-10-04T11:27:22
1601800045,195000,0,0,0,0,1,2,77,13,0,2020-10-04T11:27:25
1601800048,276000,0,0,0,0,1,2,91,13,0,2020-10-04T11:27:28
1601800051,276000,0,0,0,0,1,2,105,13,0,2020-10-04T11:27:31
1601800054,276000,0,0,0,0,1,2,119,13,0,2020-10-04T11:27:34
1601800057,276000,0,0,0,0,1,2,133,13,0,2020-10-04T11:27:37
1601800060,276000,0,0,0,0,1,2,147,13,0,2020-10-04T11:27:40
1601800063,276000,0,0,0,0,1,2,161,13,0,2020-10-04T11:27:43
1601800066,276000,0,0,0,0,1,2,175,13,0,2020-10-04T11:27:46
1601800069,276000,0,0,0,0,1,2,189,13,0,2020-10-04T11:27:49
1601800072,276000,0,0,0,0,1,2,203,13,0,2020-10-04T11:27:52
1601800075,276000,0,0,0,0,1,2,217,13,0,2020-10-04T11:27:55
1601800078,425000,0,0,0,0,1,2,231,13,0,2020-10-04T11:27:58
1601800081,425000,0,0,0,0,1,2,245,13,0,2020-10-04T11:28:01
1601800084,425000,0,0,0,0,1,2,3,13,0,2020-10-04T11:28:04
1601800087,425000,0,0,0,0,1,2,17,13,0,2020-10-04T11:28:07
1601800090,425000,0,0,0,0,1,2,31,13,0,2020-10-04T11:28:10
1601800093,425000,0,0,0,0,1,2,45,13,0,2020-10-04T11:28:13
1601800096,425000,0,0,0,0,1,2,59,13,0,2020-10-04T11:28:16
1601800099,425000,0,0,0,0,1,2,73,13,0,2020-10-04T11:28:19
1601800102,425000,0,0,0,0,1,2,87,13,0,2020-10-04T11:28:22
1601800105,425000,0,0,0,0,1,2,101,13,0,2020-10-04T11:28:25
1601800108,425000,0,0,0,0,1,2,115,13,0,2020-10-04T11:28:28
1601800111,713000,0,0,0,0,1,2,129,13,0,2020-10-04T11:28:31
1601800114,713000,0,0,0,0,1,2,143,13,0,2020-10-04T11:28:34
1601800117,713000,0,0,0,0,1,2,157,13,0,2020-10-04T11:28:37
1601800120,713000,0,0,0,0,1,2,171,13,0,2020-10-04T11:28:40
1601800123,713000,0,0,0,0,1,2,185,13,0,2020-10-04T11:28:43
1601800126,713000,0,0,0,0,1,2,199,13,0,2020-10-04T11:28:46
1601800129,713000,0,0,0,0,1,2,213,13,0,2020-10-04T11:28:49
1601800132,713000,0,0,0,0,1,2,227,13,0,2020-10-04T11:28:52
1601800135,713000,0,0,0,0,1,2,241,13,0,2020-10-04T11:28:55
1601800138,713000,0,0,0,0,1,2,255,13,0,2020-10-04T11:28:58
1601800141,828000,0,0,0,0,1,2,13,13,0,2020-10-04T11:29:01
1601800144,828000,0,0,0,0,1,2,27,13,0,2020-10-04T11:29:04
1601800147,828000,0,0,0,0,1,2,41,13,0,2020-10-04T11:29:07
1601800150,828000,0,0,0,0,1,2,55,13,0,2020-10-04T11:29:10
1601800153,828000,0,0,0,0,1,2,69,13,0,2020-10-04T11:29:13
1601800156,828000,0,0,0,0,1,2,83,13,0,2020-10-04T11:29:16
1601800159,828000,0,0,0,0,1,2,97,13,0,2020-10-04T11:29:19
1601800162,828000,0,0,0,0,1,2,111,13,0,2020-10-04T11:29:22
1601800165,828000,0,0,0,0,1,2,125,13,0,2020-10-04T11:29:25
1601800168,828000,0,0,0,0,1,2,139,13,0,2020-10-04T11:29:28
1601800171,445000,0,0,0,0,1,2,153,13,0,2020-10-04T11:29:31
1601800174,445000,0,0,0,0,1,2,167,13,0,2020-10-04T11:29:34
1601800177,445000,0,0,0,0,1,2,181,13,0,2020-10-04T11:29:37
1601800180,445000,0,0,0,0,1,2,195,13,0,2020-10-04T11:29:40
1601800183,445000,0,0,0,0,1,2,209,13,0,2020-10-04T11:29:43
